Date,bag1_int,bag1_sl,bag2_int,bag2_sl,bag3_int,bag3_sl,bag1_3hr,bag2_3hr,bag3_3hr,weekday,week_num,b1_b2_3hr,b3_b2_3hr,bag1_t0,bag2_t0,bag3_t0,month,PM2.5,NOx,NO2,O3_amb,O3_amb_PM,temp
5/5/2020,45.47909929,0.1695137,46.02984116,0.16646182,46.05582422,0.191722691,75.99156525,75.99296868,80.5659086,0,4,-0.00140343,4.572939917,42.99492729,43.49559284,43.56937919,5,7,0.002666667,0.002366667,49.4,48.3,28.72222222
5/6/2020,41.80722915,0.155302344,42.00291211,0.166918387,42.38084883,0.190499425,69.76165101,72.0482218,76.67074529,0,4,-2.286570789,4.62252349,38.95753356,39.70663311,40.31276846,5,7,0.0023,0.002033333,43.6,51.9,29.14444444
5/7/2020,38.9322643,0.169210488,37.07378065,0.269741382,38.56389166,0.251460419,69.39015213,85.62722936,83.82676702,0,4,-16.23707723,-1.800462342,34.83487136,35.79144295,36.26573826,5,7,0.0035,0.003133333,42.95,53.2,33.20555556
5/8/2020,50.73635613,0.345414344,52.70657526,0.354776265,53.48155321,0.382154203,112.9109381,116.566303,122.2693097,0,4,-3.655364866,5.703006711,45.78780761,47.34527964,46.54600671,5,17,0.006066667,0.005433333,59.95,54.9,34.75
5/9/2020,42.19965644,0.236653462,42.87804133,0.194686332,43.1657619,0.214338942,84.79727964,77.92158112,81.74677149,1,4,6.875698519,3.82519037,39.96654362,40.58410515,40.79637584,5,7,0.002733333,0.002366667,45.3,56.9,32.37777778
5/10/2020,33.43679024,0.132696948,32.10811665,0.135987339,30.45463599,0.195857446,57.32224087,56.58583765,65.70897635,1,4,0.736403217,9.123138702,30.87733221,31.4457047,31.79494966,5,8,0.001833333,0.001433333,33.45,40,24.66666667
5/11/2020,45.1166379,0.122454597,44.83089901,0.139484138,45.33552093,0.160084532,67.15846532,69.93804378,74.15073666,0,5,-2.77957846,4.212692873,42.35947427,42.71705817,43.02248322,5,10,0.002833333,0.002533333,48.2,37.2,23.62222222
5/12/2020,37.17822787,0.104054016,35.62319665,0.144687312,33.60932918,0.217320614,55.90795078,61.66691286,72.72703963,0,5,-5.758962075,11.06012677,34.31987696,34.07197987,34.98552013,5,6,0.002766667,0.0022,41.75,37.9,20.33333333
5/13/2020,33.64132897,0.088385437,32.43270417,0.13106787,33.12662256,0.158383957,49.55070768,56.02492085,61.63573474,0,5,-6.474213167,5.610813892,30.39211409,30.61121924,31.03135906,5,17,0.0024,0.0019,35.65,33.6,19.70555556
5/14/2020,31.63848248,0.096802908,31.01914339,0.128807617,31.48668936,0.155827325,49.06300597,54.20451443,59.53560786,0,5,-5.141508469,5.331093427,28.38559843,28.86651007,28.89192953,5,9,0.002466667,0.002,35.5,34.8,20.82777778
5/15/2020,35.38621764,0.136375823,33.23257452,0.162953558,31.46086066,0.202237967,59.93386577,62.56421498,67.86369479,0,5,-2.630349206,5.299479813,28.57508389,29.53041387,30.10129195,5,5,0.0024,0.0019,34.9,44,26.03888889
5/16/2020,33.67542186,0.147701646,33.40481666,0.139098365,33.79159412,0.155777197,60.26171812,58.44252232,61.83148961,1,5,1.819195803,3.388967295,31.74016779,29.16809843,32.4608557,5,6,0.0019,0.0015,32.95,25,25.43888889
5/17/2020,29.06600245,0.116127549,28.39415127,0.159381986,28.30442378,0.188111505,49.96896122,57.0829087,62.16449473,1,5,-7.113947481,5.081586023,25.77340604,26.57798658,27.72865772,5,9,0.0021,0.0016,33.05,39.3,23.18888889
