site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name 
3011,2020-02-03,6,38.67,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-03,7,38.56,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-03,8,40.83,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-03,9,45.27,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-03,10,48.33,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-03,11,50.58,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-03,12,51.55,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-03,13,52.83,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-03,14,53.86,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-03,15,53.56,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-03,16,52.70,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-03,17,50.88,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-03,18,49.10,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-03,19,48.10,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-03,20,46.67,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-03,21,44.56,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-03,22,43.79,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-03,23,42.25,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-04,0,40.75,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-04,1,40.32,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-04,2,39.44,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-04,3,38.98,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-04,4,38.96,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-04,5,38.35,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-04,6,37.75,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-04,7,37.94,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-04,8,40.24,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-04,9,44.17,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-04,10,48.44,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-04,11,51.20,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-04,12,52.78,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
3011,2020-02-04,13,54.23,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,y,AIRS,H,-99,Sacramento-T Street 
