initial NOx and VOCR concentration:   0.85000E-02,  0.95758E-01
 O3,ivoc,inox,N(V),S(VI)
  0.48923E+02,  0.25000E-01,  0.15000E-02,  0.43535E+01,  0.65729E+03
  0.52683E+02,  0.50000E-01,  0.15000E-02,  0.43535E+01,  0.65729E+03
  0.53017E+02,  0.75000E-01,  0.15000E-02,  0.43535E+01,  0.65729E+03
  0.53837E+02,  0.10000E+00,  0.15000E-02,  0.43535E+01,  0.65729E+03
  0.55233E+02,  0.12500E+00,  0.15000E-02,  0.43535E+01,  0.65729E+03
  0.54922E+02,  0.15000E+00,  0.15000E-02,  0.43535E+01,  0.65729E+03
  0.55490E+02,  0.17500E+00,  0.15000E-02,  0.43535E+01,  0.65729E+03
  0.55466E+02,  0.20000E+00,  0.15000E-02,  0.43535E+01,  0.65729E+03
  0.55985E+02,  0.22500E+00,  0.15000E-02,  0.43535E+01,  0.65729E+03
  0.56012E+02,  0.25000E+00,  0.15000E-02,  0.43535E+01,  0.65729E+03
  0.56206E+02,  0.27500E+00,  0.15000E-02,  0.43535E+01,  0.65729E+03
  0.56239E+02,  0.30000E+00,  0.15000E-02,  0.43535E+01,  0.65729E+03
  0.56272E+02,  0.32500E+00,  0.15000E-02,  0.43535E+01,  0.65729E+03
  0.56339E+02,  0.35000E+00,  0.15000E-02,  0.43535E+01,  0.65729E+03
  0.56412E+02,  0.37500E+00,  0.15000E-02,  0.43535E+01,  0.65729E+03
  0.56478E+02,  0.40000E+00,  0.15000E-02,  0.43535E+01,  0.65729E+03
  0.56232E+02,  0.42500E+00,  0.15000E-02,  0.43535E+01,  0.65729E+03
  0.56364E+02,  0.45000E+00,  0.15000E-02,  0.43535E+01,  0.65729E+03
  0.55856E+02,  0.47500E+00,  0.15000E-02,  0.43535E+01,  0.65729E+03
  0.56026E+02,  0.50000E+00,  0.15000E-02,  0.43535E+01,  0.65729E+03
  0.46952E+02,  0.25000E-01,  0.30000E-02,  0.43535E+01,  0.65729E+03
  0.54576E+02,  0.50000E-01,  0.30000E-02,  0.43535E+01,  0.65729E+03
  0.59907E+02,  0.75000E-01,  0.30000E-02,  0.43535E+01,  0.65729E+03
  0.61239E+02,  0.10000E+00,  0.30000E-02,  0.43535E+01,  0.65729E+03
  0.64964E+02,  0.12500E+00,  0.30000E-02,  0.43535E+01,  0.65729E+03
  0.65083E+02,  0.15000E+00,  0.30000E-02,  0.43535E+01,  0.65729E+03
  0.66117E+02,  0.17500E+00,  0.30000E-02,  0.43535E+01,  0.65729E+03
  0.69122E+02,  0.20000E+00,  0.30000E-02,  0.43535E+01,  0.65729E+03
  0.69202E+02,  0.22500E+00,  0.30000E-02,  0.43535E+01,  0.65729E+03
  0.69905E+02,  0.25000E+00,  0.30000E-02,  0.43535E+01,  0.65729E+03
  0.70174E+02,  0.27500E+00,  0.30000E-02,  0.43535E+01,  0.65729E+03
  0.70465E+02,  0.30000E+00,  0.30000E-02,  0.43535E+01,  0.65729E+03
  0.70811E+02,  0.32500E+00,  0.30000E-02,  0.43535E+01,  0.65729E+03
  0.71074E+02,  0.35000E+00,  0.30000E-02,  0.43535E+01,  0.65729E+03
  0.71208E+02,  0.37500E+00,  0.30000E-02,  0.43535E+01,  0.65729E+03
  0.71206E+02,  0.40000E+00,  0.30000E-02,  0.43535E+01,  0.65729E+03
  0.71595E+02,  0.42500E+00,  0.30000E-02,  0.43535E+01,  0.65729E+03
  0.70952E+02,  0.45000E+00,  0.30000E-02,  0.43535E+01,  0.65729E+03
  0.71321E+02,  0.47500E+00,  0.30000E-02,  0.43535E+01,  0.65729E+03
  0.71987E+02,  0.50000E+00,  0.30000E-02,  0.43535E+01,  0.65729E+03
  0.43111E+02,  0.25000E-01,  0.45000E-02,  0.43535E+01,  0.65729E+03
  0.51051E+02,  0.50000E-01,  0.45000E-02,  0.43535E+01,  0.65729E+03
  0.58874E+02,  0.75000E-01,  0.45000E-02,  0.43535E+01,  0.65729E+03
  0.64958E+02,  0.10000E+00,  0.45000E-02,  0.43535E+01,  0.65729E+03
  0.69076E+02,  0.12500E+00,  0.45000E-02,  0.43535E+01,  0.65729E+03
  0.73540E+02,  0.15000E+00,  0.45000E-02,  0.43535E+01,  0.65729E+03
  0.74955E+02,  0.17500E+00,  0.45000E-02,  0.43535E+01,  0.65729E+03
  0.75542E+02,  0.20000E+00,  0.45000E-02,  0.43535E+01,  0.65729E+03
  0.77059E+02,  0.22500E+00,  0.45000E-02,  0.43535E+01,  0.65729E+03
  0.78182E+02,  0.25000E+00,  0.45000E-02,  0.43535E+01,  0.65729E+03
  0.79037E+02,  0.27500E+00,  0.45000E-02,  0.43535E+01,  0.65729E+03
  0.79885E+02,  0.30000E+00,  0.45000E-02,  0.43535E+01,  0.65729E+03
  0.80603E+02,  0.32500E+00,  0.45000E-02,  0.43535E+01,  0.65729E+03
  0.81012E+02,  0.35000E+00,  0.45000E-02,  0.43535E+01,  0.65729E+03
  0.81422E+02,  0.37500E+00,  0.45000E-02,  0.43535E+01,  0.65729E+03
  0.81861E+02,  0.40000E+00,  0.45000E-02,  0.43535E+01,  0.65729E+03
  0.82209E+02,  0.42500E+00,  0.45000E-02,  0.43535E+01,  0.65729E+03
  0.82507E+02,  0.45000E+00,  0.45000E-02,  0.43535E+01,  0.65729E+03
  0.82816E+02,  0.47500E+00,  0.45000E-02,  0.43535E+01,  0.65729E+03
  0.83020E+02,  0.50000E+00,  0.45000E-02,  0.43535E+01,  0.65729E+03
  0.40669E+02,  0.25000E-01,  0.60000E-02,  0.43535E+01,  0.65729E+03
  0.46754E+02,  0.50000E-01,  0.60000E-02,  0.43535E+01,  0.65729E+03
  0.54518E+02,  0.75000E-01,  0.60000E-02,  0.43535E+01,  0.65729E+03
  0.62602E+02,  0.10000E+00,  0.60000E-02,  0.43535E+01,  0.65729E+03
  0.68696E+02,  0.12500E+00,  0.60000E-02,  0.43535E+01,  0.65729E+03
  0.74546E+02,  0.15000E+00,  0.60000E-02,  0.43535E+01,  0.65729E+03
  0.79217E+02,  0.17500E+00,  0.60000E-02,  0.43535E+01,  0.65729E+03
  0.81706E+02,  0.20000E+00,  0.60000E-02,  0.43535E+01,  0.65729E+03
  0.83230E+02,  0.22500E+00,  0.60000E-02,  0.43535E+01,  0.65729E+03
  0.85195E+02,  0.25000E+00,  0.60000E-02,  0.43535E+01,  0.65729E+03
  0.86802E+02,  0.27500E+00,  0.60000E-02,  0.43535E+01,  0.65729E+03
  0.88034E+02,  0.30000E+00,  0.60000E-02,  0.43535E+01,  0.65729E+03
  0.89290E+02,  0.32500E+00,  0.60000E-02,  0.43535E+01,  0.65729E+03
  0.90217E+02,  0.35000E+00,  0.60000E-02,  0.43535E+01,  0.65729E+03
  0.91038E+02,  0.37500E+00,  0.60000E-02,  0.43535E+01,  0.65729E+03
  0.91709E+02,  0.40000E+00,  0.60000E-02,  0.43535E+01,  0.65729E+03
  0.92218E+02,  0.42500E+00,  0.60000E-02,  0.43535E+01,  0.65729E+03
  0.92904E+02,  0.45000E+00,  0.60000E-02,  0.43535E+01,  0.65729E+03
  0.93322E+02,  0.47500E+00,  0.60000E-02,  0.43535E+01,  0.65729E+03
  0.93655E+02,  0.50000E+00,  0.60000E-02,  0.43535E+01,  0.65729E+03
  0.38651E+02,  0.25000E-01,  0.75000E-02,  0.43535E+01,  0.65729E+03
  0.44065E+02,  0.50000E-01,  0.75000E-02,  0.43535E+01,  0.65729E+03
  0.51067E+02,  0.75000E-01,  0.75000E-02,  0.43535E+01,  0.65729E+03
  0.58070E+02,  0.10000E+00,  0.75000E-02,  0.43535E+01,  0.65729E+03
  0.65502E+02,  0.12500E+00,  0.75000E-02,  0.43535E+01,  0.65729E+03
  0.74227E+02,  0.15000E+00,  0.75000E-02,  0.43535E+01,  0.65729E+03
  0.79244E+02,  0.17500E+00,  0.75000E-02,  0.43535E+01,  0.65729E+03
  0.83819E+02,  0.20000E+00,  0.75000E-02,  0.43535E+01,  0.65729E+03
  0.86861E+02,  0.22500E+00,  0.75000E-02,  0.43535E+01,  0.65729E+03
  0.89890E+02,  0.25000E+00,  0.75000E-02,  0.43535E+01,  0.65729E+03
  0.92166E+02,  0.27500E+00,  0.75000E-02,  0.43535E+01,  0.65729E+03
  0.94201E+02,  0.30000E+00,  0.75000E-02,  0.43535E+01,  0.65729E+03
  0.95818E+02,  0.32500E+00,  0.75000E-02,  0.43535E+01,  0.65729E+03
  0.97238E+02,  0.35000E+00,  0.75000E-02,  0.43535E+01,  0.65729E+03
  0.98594E+02,  0.37500E+00,  0.75000E-02,  0.43535E+01,  0.65729E+03
  0.99647E+02,  0.40000E+00,  0.75000E-02,  0.43535E+01,  0.65729E+03
  0.10055E+03,  0.42500E+00,  0.75000E-02,  0.43535E+01,  0.65729E+03
  0.10143E+03,  0.45000E+00,  0.75000E-02,  0.43535E+01,  0.65729E+03
  0.10205E+03,  0.47500E+00,  0.75000E-02,  0.43535E+01,  0.65729E+03
  0.10283E+03,  0.50000E+00,  0.75000E-02,  0.43535E+01,  0.65729E+03
  0.37428E+02,  0.25000E-01,  0.90000E-02,  0.43535E+01,  0.65729E+03
  0.41801E+02,  0.50000E-01,  0.90000E-02,  0.43535E+01,  0.65729E+03
  0.47861E+02,  0.75000E-01,  0.90000E-02,  0.43535E+01,  0.65729E+03
  0.54663E+02,  0.10000E+00,  0.90000E-02,  0.43535E+01,  0.65729E+03
  0.61683E+02,  0.12500E+00,  0.90000E-02,  0.43535E+01,  0.65729E+03
  0.70654E+02,  0.15000E+00,  0.90000E-02,  0.43535E+01,  0.65729E+03
  0.75222E+02,  0.17500E+00,  0.90000E-02,  0.43535E+01,  0.65729E+03
  0.83616E+02,  0.20000E+00,  0.90000E-02,  0.43535E+01,  0.65729E+03
  0.87913E+02,  0.22500E+00,  0.90000E-02,  0.43535E+01,  0.65729E+03
  0.92273E+02,  0.25000E+00,  0.90000E-02,  0.43535E+01,  0.65729E+03
  0.96056E+02,  0.27500E+00,  0.90000E-02,  0.43535E+01,  0.65729E+03
  0.98298E+02,  0.30000E+00,  0.90000E-02,  0.43535E+01,  0.65729E+03
  0.10069E+03,  0.32500E+00,  0.90000E-02,  0.43535E+01,  0.65729E+03
  0.10261E+03,  0.35000E+00,  0.90000E-02,  0.43535E+01,  0.65729E+03
  0.10445E+03,  0.37500E+00,  0.90000E-02,  0.43535E+01,  0.65729E+03
  0.10604E+03,  0.40000E+00,  0.90000E-02,  0.43535E+01,  0.65729E+03
  0.10734E+03,  0.42500E+00,  0.90000E-02,  0.43535E+01,  0.65729E+03
  0.10853E+03,  0.45000E+00,  0.90000E-02,  0.43535E+01,  0.65729E+03
  0.10956E+03,  0.47500E+00,  0.90000E-02,  0.43535E+01,  0.65729E+03
  0.11043E+03,  0.50000E+00,  0.90000E-02,  0.43535E+01,  0.65729E+03
  0.36014E+02,  0.25000E-01,  0.10500E-01,  0.43535E+01,  0.65729E+03
  0.39861E+02,  0.50000E-01,  0.10500E-01,  0.43535E+01,  0.65729E+03
  0.45367E+02,  0.75000E-01,  0.10500E-01,  0.43535E+01,  0.65729E+03
  0.51360E+02,  0.10000E+00,  0.10500E-01,  0.43535E+01,  0.65729E+03
  0.57908E+02,  0.12500E+00,  0.10500E-01,  0.43535E+01,  0.65729E+03
  0.67849E+02,  0.15000E+00,  0.10500E-01,  0.43535E+01,  0.65729E+03
  0.72692E+02,  0.17500E+00,  0.10500E-01,  0.43535E+01,  0.65729E+03
  0.80512E+02,  0.20000E+00,  0.10500E-01,  0.43535E+01,  0.65729E+03
  0.85759E+02,  0.22500E+00,  0.10500E-01,  0.43535E+01,  0.65729E+03
  0.91772E+02,  0.25000E+00,  0.10500E-01,  0.43535E+01,  0.65729E+03
  0.96632E+02,  0.27500E+00,  0.10500E-01,  0.43535E+01,  0.65729E+03
  0.10030E+03,  0.30000E+00,  0.10500E-01,  0.43535E+01,  0.65729E+03
  0.10310E+03,  0.32500E+00,  0.10500E-01,  0.43535E+01,  0.65729E+03
  0.10542E+03,  0.35000E+00,  0.10500E-01,  0.43535E+01,  0.65729E+03
  0.10868E+03,  0.37500E+00,  0.10500E-01,  0.43535E+01,  0.65729E+03
  0.11064E+03,  0.40000E+00,  0.10500E-01,  0.43535E+01,  0.65729E+03
  0.11272E+03,  0.42500E+00,  0.10500E-01,  0.43535E+01,  0.65729E+03
  0.11444E+03,  0.45000E+00,  0.10500E-01,  0.43535E+01,  0.65729E+03
  0.11624E+03,  0.47500E+00,  0.10500E-01,  0.43535E+01,  0.65729E+03
  0.11710E+03,  0.50000E+00,  0.10500E-01,  0.43535E+01,  0.65729E+03
  0.34663E+02,  0.25000E-01,  0.12000E-01,  0.43535E+01,  0.65729E+03
  0.38302E+02,  0.50000E-01,  0.12000E-01,  0.43535E+01,  0.65729E+03
  0.42998E+02,  0.75000E-01,  0.12000E-01,  0.43535E+01,  0.65729E+03
  0.49084E+02,  0.10000E+00,  0.12000E-01,  0.43535E+01,  0.65729E+03
  0.56582E+02,  0.12500E+00,  0.12000E-01,  0.43535E+01,  0.65729E+03
  0.63812E+02,  0.15000E+00,  0.12000E-01,  0.43535E+01,  0.65729E+03
  0.70887E+02,  0.17500E+00,  0.12000E-01,  0.43535E+01,  0.65729E+03
  0.78272E+02,  0.20000E+00,  0.12000E-01,  0.43535E+01,  0.65729E+03
  0.84401E+02,  0.22500E+00,  0.12000E-01,  0.43535E+01,  0.65729E+03
  0.89429E+02,  0.25000E+00,  0.12000E-01,  0.43535E+01,  0.65729E+03
  0.94972E+02,  0.27500E+00,  0.12000E-01,  0.43535E+01,  0.65729E+03
  0.10008E+03,  0.30000E+00,  0.12000E-01,  0.43535E+01,  0.65729E+03
  0.10452E+03,  0.32500E+00,  0.12000E-01,  0.43535E+01,  0.65729E+03
  0.10824E+03,  0.35000E+00,  0.12000E-01,  0.43535E+01,  0.65729E+03
  0.11143E+03,  0.37500E+00,  0.12000E-01,  0.43535E+01,  0.65729E+03
  0.11413E+03,  0.40000E+00,  0.12000E-01,  0.43535E+01,  0.65729E+03
  0.11650E+03,  0.42500E+00,  0.12000E-01,  0.43535E+01,  0.65729E+03
  0.11875E+03,  0.45000E+00,  0.12000E-01,  0.43535E+01,  0.65729E+03
  0.12083E+03,  0.47500E+00,  0.12000E-01,  0.43535E+01,  0.65729E+03
  0.12235E+03,  0.50000E+00,  0.12000E-01,  0.43535E+01,  0.65729E+03
  0.33692E+02,  0.25000E-01,  0.13500E-01,  0.43535E+01,  0.65729E+03
  0.37019E+02,  0.50000E-01,  0.13500E-01,  0.43535E+01,  0.65729E+03
  0.41248E+02,  0.75000E-01,  0.13500E-01,  0.43535E+01,  0.65729E+03
  0.46588E+02,  0.10000E+00,  0.13500E-01,  0.43535E+01,  0.65729E+03
  0.53465E+02,  0.12500E+00,  0.13500E-01,  0.43535E+01,  0.65729E+03
  0.60503E+02,  0.15000E+00,  0.13500E-01,  0.43535E+01,  0.65729E+03
  0.65059E+02,  0.17500E+00,  0.13500E-01,  0.43535E+01,  0.65729E+03
  0.71741E+02,  0.20000E+00,  0.13500E-01,  0.43535E+01,  0.65729E+03
  0.81099E+02,  0.22500E+00,  0.13500E-01,  0.43535E+01,  0.65729E+03
  0.87571E+02,  0.25000E+00,  0.13500E-01,  0.43535E+01,  0.65729E+03
  0.91296E+02,  0.27500E+00,  0.13500E-01,  0.43535E+01,  0.65729E+03
  0.97779E+02,  0.30000E+00,  0.13500E-01,  0.43535E+01,  0.65729E+03
  0.10379E+03,  0.32500E+00,  0.13500E-01,  0.43535E+01,  0.65729E+03
  0.10830E+03,  0.35000E+00,  0.13500E-01,  0.43535E+01,  0.65729E+03
  0.11232E+03,  0.37500E+00,  0.13500E-01,  0.43535E+01,  0.65729E+03
  0.11589E+03,  0.40000E+00,  0.13500E-01,  0.43535E+01,  0.65729E+03
  0.11901E+03,  0.42500E+00,  0.13500E-01,  0.43535E+01,  0.65729E+03
  0.12178E+03,  0.45000E+00,  0.13500E-01,  0.43535E+01,  0.65729E+03
  0.12422E+03,  0.47500E+00,  0.13500E-01,  0.43535E+01,  0.65729E+03
  0.12648E+03,  0.50000E+00,  0.13500E-01,  0.43535E+01,  0.65729E+03
  0.32891E+02,  0.25000E-01,  0.15000E-01,  0.43535E+01,  0.65729E+03
  0.35770E+02,  0.50000E-01,  0.15000E-01,  0.43535E+01,  0.65729E+03
  0.39737E+02,  0.75000E-01,  0.15000E-01,  0.43535E+01,  0.65729E+03
  0.45603E+02,  0.10000E+00,  0.15000E-01,  0.43535E+01,  0.65729E+03
  0.50441E+02,  0.12500E+00,  0.15000E-01,  0.43535E+01,  0.65729E+03
