initial NOx and VOCR concentration:   0.48000E-02,  0.10384E+00
 O3,ivoc,inox,N(V),S(VI)
  0.46556E+02,  0.25000E-01,  0.15000E-02,  0.45242E+01,  0.49510E+03
  0.49963E+02,  0.50000E-01,  0.15000E-02,  0.45242E+01,  0.49510E+03
  0.51905E+02,  0.75000E-01,  0.15000E-02,  0.45242E+01,  0.49510E+03
  0.53314E+02,  0.10000E+00,  0.15000E-02,  0.45242E+01,  0.49510E+03
  0.52941E+02,  0.12500E+00,  0.15000E-02,  0.45242E+01,  0.49510E+03
  0.54430E+02,  0.15000E+00,  0.15000E-02,  0.45242E+01,  0.49510E+03
  0.54329E+02,  0.17500E+00,  0.15000E-02,  0.45242E+01,  0.49510E+03
  0.54654E+02,  0.20000E+00,  0.15000E-02,  0.45242E+01,  0.49510E+03
  0.54624E+02,  0.22500E+00,  0.15000E-02,  0.45242E+01,  0.49510E+03
  0.55143E+02,  0.25000E+00,  0.15000E-02,  0.45242E+01,  0.49510E+03
  0.55042E+02,  0.27500E+00,  0.15000E-02,  0.45242E+01,  0.49510E+03
  0.55084E+02,  0.30000E+00,  0.15000E-02,  0.45242E+01,  0.49510E+03
  0.55222E+02,  0.32500E+00,  0.15000E-02,  0.45242E+01,  0.49510E+03
  0.55338E+02,  0.35000E+00,  0.15000E-02,  0.45242E+01,  0.49510E+03
  0.55342E+02,  0.37500E+00,  0.15000E-02,  0.45242E+01,  0.49510E+03
  0.55320E+02,  0.40000E+00,  0.15000E-02,  0.45242E+01,  0.49510E+03
  0.55438E+02,  0.42500E+00,  0.15000E-02,  0.45242E+01,  0.49510E+03
  0.55519E+02,  0.45000E+00,  0.15000E-02,  0.45242E+01,  0.49510E+03
  0.55378E+02,  0.47500E+00,  0.15000E-02,  0.45242E+01,  0.49510E+03
  0.55026E+02,  0.50000E+00,  0.15000E-02,  0.45242E+01,  0.49510E+03
  0.44565E+02,  0.25000E-01,  0.30000E-02,  0.45242E+01,  0.49510E+03
  0.52708E+02,  0.50000E-01,  0.30000E-02,  0.45242E+01,  0.49510E+03
  0.58209E+02,  0.75000E-01,  0.30000E-02,  0.45242E+01,  0.49510E+03
