initial NOx and VOCR concentration:   0.34910E-02,  0.20175E+00
 O3,ivoc,inox,N(V),S(VI)
  0.66406E+02,  0.25000E-01,  0.15000E-02,  0.13658E+01,  0.11097E+04
  0.71541E+02,  0.50000E-01,  0.15000E-02,  0.13658E+01,  0.11097E+04
  0.75017E+02,  0.75000E-01,  0.15000E-02,  0.13658E+01,  0.11097E+04
  0.77660E+02,  0.10000E+00,  0.15000E-02,  0.13658E+01,  0.11097E+04
  0.78867E+02,  0.12500E+00,  0.15000E-02,  0.13658E+01,  0.11097E+04
  0.78518E+02,  0.15000E+00,  0.15000E-02,  0.13658E+01,  0.11097E+04
  0.79445E+02,  0.17500E+00,  0.15000E-02,  0.13658E+01,  0.11097E+04
  0.82196E+02,  0.20000E+00,  0.15000E-02,  0.13658E+01,  0.11097E+04
  0.82708E+02,  0.22500E+00,  0.15000E-02,  0.13658E+01,  0.11097E+04
  0.83159E+02,  0.25000E+00,  0.15000E-02,  0.13658E+01,  0.11097E+04
  0.80283E+02,  0.27500E+00,  0.15000E-02,  0.13658E+01,  0.11097E+04
  0.83207E+02,  0.30000E+00,  0.15000E-02,  0.13658E+01,  0.11097E+04
  0.83463E+02,  0.32500E+00,  0.15000E-02,  0.13658E+01,  0.11097E+04
  0.83616E+02,  0.35000E+00,  0.15000E-02,  0.13658E+01,  0.11097E+04
  0.79695E+02,  0.37500E+00,  0.15000E-02,  0.13658E+01,  0.11097E+04
  0.83770E+02,  0.40000E+00,  0.15000E-02,  0.13658E+01,  0.11097E+04
  0.79347E+02,  0.42500E+00,  0.15000E-02,  0.13658E+01,  0.11097E+04
  0.84107E+02,  0.45000E+00,  0.15000E-02,  0.13658E+01,  0.11097E+04
  0.84135E+02,  0.47500E+00,  0.15000E-02,  0.13658E+01,  0.11097E+04
  0.84066E+02,  0.50000E+00,  0.15000E-02,  0.13658E+01,  0.11097E+04
  0.67256E+02,  0.25000E-01,  0.30000E-02,  0.13658E+01,  0.11097E+04
  0.75215E+02,  0.50000E-01,  0.30000E-02,  0.13658E+01,  0.11097E+04
  0.80838E+02,  0.75000E-01,  0.30000E-02,  0.13658E+01,  0.11097E+04
  0.85040E+02,  0.10000E+00,  0.30000E-02,  0.13658E+01,  0.11097E+04
  0.85724E+02,  0.12500E+00,  0.30000E-02,  0.13658E+01,  0.11097E+04
  0.88206E+02,  0.15000E+00,  0.30000E-02,  0.13658E+01,  0.11097E+04
  0.89761E+02,  0.17500E+00,  0.30000E-02,  0.13658E+01,  0.11097E+04
  0.91099E+02,  0.20000E+00,  0.30000E-02,  0.13658E+01,  0.11097E+04
  0.95156E+02,  0.22500E+00,  0.30000E-02,  0.13658E+01,  0.11097E+04
  0.96256E+02,  0.25000E+00,  0.30000E-02,  0.13658E+01,  0.11097E+04
  0.93507E+02,  0.27500E+00,  0.30000E-02,  0.13658E+01,  0.11097E+04
  0.97710E+02,  0.30000E+00,  0.30000E-02,  0.13658E+01,  0.11097E+04
  0.93579E+02,  0.32500E+00,  0.30000E-02,  0.13658E+01,  0.11097E+04
  0.93788E+02,  0.35000E+00,  0.30000E-02,  0.13658E+01,  0.11097E+04
  0.93884E+02,  0.37500E+00,  0.30000E-02,  0.13658E+01,  0.11097E+04
  0.94021E+02,  0.40000E+00,  0.30000E-02,  0.13658E+01,  0.11097E+04
  0.94485E+02,  0.42500E+00,  0.30000E-02,  0.13658E+01,  0.11097E+04
  0.94209E+02,  0.45000E+00,  0.30000E-02,  0.13658E+01,  0.11097E+04
  0.94298E+02,  0.47500E+00,  0.30000E-02,  0.13658E+01,  0.11097E+04
