initial NOx and VOCR concentration:   0.29000E-02,  0.55470E-01
 O3,ivoc,inox,N(V),S(VI)
  0.51701E+02,  0.25000E-01,  0.15000E-02,  0.93898E+00,  0.34998E+03
  0.54803E+02,  0.50000E-01,  0.15000E-02,  0.93898E+00,  0.34998E+03
  0.57456E+02,  0.75000E-01,  0.15000E-02,  0.93898E+00,  0.34998E+03
  0.58490E+02,  0.10000E+00,  0.15000E-02,  0.93898E+00,  0.34998E+03
  0.58703E+02,  0.12500E+00,  0.15000E-02,  0.93898E+00,  0.34998E+03
  0.59247E+02,  0.15000E+00,  0.15000E-02,  0.93898E+00,  0.34998E+03
  0.59962E+02,  0.17500E+00,  0.15000E-02,  0.93898E+00,  0.34998E+03
  0.59973E+02,  0.20000E+00,  0.15000E-02,  0.93898E+00,  0.34998E+03
  0.60326E+02,  0.22500E+00,  0.15000E-02,  0.93898E+00,  0.34998E+03
  0.60538E+02,  0.25000E+00,  0.15000E-02,  0.93898E+00,  0.34998E+03
  0.60721E+02,  0.27500E+00,  0.15000E-02,  0.93898E+00,  0.34998E+03
  0.60498E+02,  0.30000E+00,  0.15000E-02,  0.93898E+00,  0.34998E+03
  0.61021E+02,  0.32500E+00,  0.15000E-02,  0.93898E+00,  0.34998E+03
  0.61109E+02,  0.35000E+00,  0.15000E-02,  0.93898E+00,  0.34998E+03
  0.61172E+02,  0.37500E+00,  0.15000E-02,  0.93898E+00,  0.34998E+03
  0.61050E+02,  0.40000E+00,  0.15000E-02,  0.93898E+00,  0.34998E+03
  0.61170E+02,  0.42500E+00,  0.15000E-02,  0.93898E+00,  0.34998E+03
  0.61252E+02,  0.45000E+00,  0.15000E-02,  0.93898E+00,  0.34998E+03
  0.61325E+02,  0.47500E+00,  0.15000E-02,  0.93898E+00,  0.34998E+03
  0.61196E+02,  0.50000E+00,  0.15000E-02,  0.93898E+00,  0.34998E+03
  0.49663E+02,  0.25000E-01,  0.30000E-02,  0.93898E+00,  0.34998E+03
  0.57378E+02,  0.50000E-01,  0.30000E-02,  0.93898E+00,  0.34998E+03
  0.63115E+02,  0.75000E-01,  0.30000E-02,  0.93898E+00,  0.34998E+03
  0.66906E+02,  0.10000E+00,  0.30000E-02,  0.93898E+00,  0.34998E+03
  0.67931E+02,  0.12500E+00,  0.30000E-02,  0.93898E+00,  0.34998E+03
  0.70338E+02,  0.15000E+00,  0.30000E-02,  0.93898E+00,  0.34998E+03
  0.71407E+02,  0.17500E+00,  0.30000E-02,  0.93898E+00,  0.34998E+03
  0.72889E+02,  0.20000E+00,  0.30000E-02,  0.93898E+00,  0.34998E+03
  0.73753E+02,  0.22500E+00,  0.30000E-02,  0.93898E+00,  0.34998E+03
  0.74420E+02,  0.25000E+00,  0.30000E-02,  0.93898E+00,  0.34998E+03
  0.75201E+02,  0.27500E+00,  0.30000E-02,  0.93898E+00,  0.34998E+03
  0.75540E+02,  0.30000E+00,  0.30000E-02,  0.93898E+00,  0.34998E+03
  0.75738E+02,  0.32500E+00,  0.30000E-02,  0.93898E+00,  0.34998E+03
  0.75624E+02,  0.35000E+00,  0.30000E-02,  0.93898E+00,  0.34998E+03
  0.76171E+02,  0.37500E+00,  0.30000E-02,  0.93898E+00,  0.34998E+03
  0.76937E+02,  0.40000E+00,  0.30000E-02,  0.93898E+00,  0.34998E+03
  0.76233E+02,  0.42500E+00,  0.30000E-02,  0.93898E+00,  0.34998E+03
  0.76706E+02,  0.45000E+00,  0.30000E-02,  0.93898E+00,  0.34998E+03
  0.77347E+02,  0.47500E+00,  0.30000E-02,  0.93898E+00,  0.34998E+03
  0.77172E+02,  0.50000E+00,  0.30000E-02,  0.93898E+00,  0.34998E+03
  0.45854E+02,  0.25000E-01,  0.45000E-02,  0.93898E+00,  0.34998E+03
  0.53601E+02,  0.50000E-01,  0.45000E-02,  0.93898E+00,  0.34998E+03
  0.62664E+02,  0.75000E-01,  0.45000E-02,  0.93898E+00,  0.34998E+03
  0.68243E+02,  0.10000E+00,  0.45000E-02,  0.93898E+00,  0.34998E+03
  0.73233E+02,  0.12500E+00,  0.45000E-02,  0.93898E+00,  0.34998E+03
  0.76477E+02,  0.15000E+00,  0.45000E-02,  0.93898E+00,  0.34998E+03
