initial NOx and VOCR concentration:   0.89030E-02,  0.19209E+00
 O3,ivoc,inox,N(V),S(VI)
  0.47683E+02,  0.25000E-01,  0.15000E-02,  0.54632E+00,  0.10243E+04
  0.52031E+02,  0.50000E-01,  0.15000E-02,  0.54632E+00,  0.10243E+04
  0.54754E+02,  0.75000E-01,  0.15000E-02,  0.54632E+00,  0.10243E+04
  0.56133E+02,  0.10000E+00,  0.15000E-02,  0.54632E+00,  0.10243E+04
  0.56886E+02,  0.12500E+00,  0.15000E-02,  0.54632E+00,  0.10243E+04
  0.55289E+02,  0.15000E+00,  0.15000E-02,  0.54632E+00,  0.10243E+04
  0.55631E+02,  0.17500E+00,  0.15000E-02,  0.54632E+00,  0.10243E+04
  0.55786E+02,  0.20000E+00,  0.15000E-02,  0.54632E+00,  0.10243E+04
  0.55784E+02,  0.22500E+00,  0.15000E-02,  0.54632E+00,  0.10243E+04
  0.55861E+02,  0.25000E+00,  0.15000E-02,  0.54632E+00,  0.10243E+04
  0.55866E+02,  0.27500E+00,  0.15000E-02,  0.54632E+00,  0.10243E+04
  0.55930E+02,  0.30000E+00,  0.15000E-02,  0.54632E+00,  0.10243E+04
  0.58758E+02,  0.32500E+00,  0.15000E-02,  0.54632E+00,  0.10243E+04
  0.55834E+02,  0.35000E+00,  0.15000E-02,  0.54632E+00,  0.10243E+04
  0.55889E+02,  0.37500E+00,  0.15000E-02,  0.54632E+00,  0.10243E+04
  0.55789E+02,  0.40000E+00,  0.15000E-02,  0.54632E+00,  0.10243E+04
  0.55707E+02,  0.42500E+00,  0.15000E-02,  0.54632E+00,  0.10243E+04
  0.58066E+02,  0.45000E+00,  0.15000E-02,  0.54632E+00,  0.10243E+04
  0.55648E+02,  0.47500E+00,  0.15000E-02,  0.54632E+00,  0.10243E+04
  0.55546E+02,  0.50000E+00,  0.15000E-02,  0.54632E+00,  0.10243E+04
  0.46712E+02,  0.25000E-01,  0.30000E-02,  0.54632E+00,  0.10243E+04
  0.54728E+02,  0.50000E-01,  0.30000E-02,  0.54632E+00,  0.10243E+04
  0.60457E+02,  0.75000E-01,  0.30000E-02,  0.54632E+00,  0.10243E+04
  0.63351E+02,  0.10000E+00,  0.30000E-02,  0.54632E+00,  0.10243E+04
  0.66111E+02,  0.12500E+00,  0.30000E-02,  0.54632E+00,  0.10243E+04
  0.66178E+02,  0.15000E+00,  0.30000E-02,  0.54632E+00,  0.10243E+04
  0.67360E+02,  0.17500E+00,  0.30000E-02,  0.54632E+00,  0.10243E+04
  0.68208E+02,  0.20000E+00,  0.30000E-02,  0.54632E+00,  0.10243E+04
  0.68702E+02,  0.22500E+00,  0.30000E-02,  0.54632E+00,  0.10243E+04
  0.69381E+02,  0.25000E+00,  0.30000E-02,  0.54632E+00,  0.10243E+04
