initial NOx and VOCR concentration:   0.12580E-01,  0.17027E+00
 O3,ivoc,inox,N(V),S(VI)
  0.60019E+02,  0.25000E-01,  0.15000E-02,  0.43535E+02,  0.79387E+03
  0.64833E+02,  0.50000E-01,  0.15000E-02,  0.43535E+02,  0.79387E+03
  0.67934E+02,  0.75000E-01,  0.15000E-02,  0.43535E+02,  0.79387E+03
  0.69592E+02,  0.10000E+00,  0.15000E-02,  0.43535E+02,  0.79387E+03
  0.71228E+02,  0.12500E+00,  0.15000E-02,  0.43535E+02,  0.79387E+03
  0.72316E+02,  0.15000E+00,  0.15000E-02,  0.43535E+02,  0.79387E+03
  0.68928E+02,  0.17500E+00,  0.15000E-02,  0.43535E+02,  0.79387E+03
  0.73323E+02,  0.20000E+00,  0.15000E-02,  0.43535E+02,  0.79387E+03
  0.72693E+02,  0.22500E+00,  0.15000E-02,  0.43535E+02,  0.79387E+03
  0.72930E+02,  0.25000E+00,  0.15000E-02,  0.43535E+02,  0.79387E+03
  0.69483E+02,  0.27500E+00,  0.15000E-02,  0.43535E+02,  0.79387E+03
  0.69411E+02,  0.30000E+00,  0.15000E-02,  0.43535E+02,  0.79387E+03
  0.69380E+02,  0.32500E+00,  0.15000E-02,  0.43535E+02,  0.79387E+03
  0.73231E+02,  0.35000E+00,  0.15000E-02,  0.43535E+02,  0.79387E+03
  0.69942E+02,  0.37500E+00,  0.15000E-02,  0.43535E+02,  0.79387E+03
  0.73248E+02,  0.40000E+00,  0.15000E-02,  0.43535E+02,  0.79387E+03
  0.73485E+02,  0.42500E+00,  0.15000E-02,  0.43535E+02,  0.79387E+03
  0.69847E+02,  0.45000E+00,  0.15000E-02,  0.43535E+02,  0.79387E+03
  0.69816E+02,  0.47500E+00,  0.15000E-02,  0.43535E+02,  0.79387E+03
  0.69771E+02,  0.50000E+00,  0.15000E-02,  0.43535E+02,  0.79387E+03
  0.60259E+02,  0.25000E-01,  0.30000E-02,  0.43535E+02,  0.79387E+03
  0.67929E+02,  0.50000E-01,  0.30000E-02,  0.43535E+02,  0.79387E+03
  0.72681E+02,  0.75000E-01,  0.30000E-02,  0.43535E+02,  0.79387E+03
  0.75806E+02,  0.10000E+00,  0.30000E-02,  0.43535E+02,  0.79387E+03
  0.78593E+02,  0.12500E+00,  0.30000E-02,  0.43535E+02,  0.79387E+03
  0.80181E+02,  0.15000E+00,  0.30000E-02,  0.43535E+02,  0.79387E+03
  0.84653E+02,  0.17500E+00,  0.30000E-02,  0.43535E+02,  0.79387E+03
  0.82898E+02,  0.20000E+00,  0.30000E-02,  0.43535E+02,  0.79387E+03
  0.87183E+02,  0.22500E+00,  0.30000E-02,  0.43535E+02,  0.79387E+03
  0.84236E+02,  0.25000E+00,  0.30000E-02,  0.43535E+02,  0.79387E+03
  0.85200E+02,  0.27500E+00,  0.30000E-02,  0.43535E+02,  0.79387E+03
  0.85315E+02,  0.30000E+00,  0.30000E-02,  0.43535E+02,  0.79387E+03
  0.85158E+02,  0.32500E+00,  0.30000E-02,  0.43535E+02,  0.79387E+03
  0.85108E+02,  0.35000E+00,  0.30000E-02,  0.43535E+02,  0.79387E+03
  0.85066E+02,  0.37500E+00,  0.30000E-02,  0.43535E+02,  0.79387E+03
  0.85149E+02,  0.40000E+00,  0.30000E-02,  0.43535E+02,  0.79387E+03
  0.85182E+02,  0.42500E+00,  0.30000E-02,  0.43535E+02,  0.79387E+03
  0.85153E+02,  0.45000E+00,  0.30000E-02,  0.43535E+02,  0.79387E+03
  0.85316E+02,  0.47500E+00,  0.30000E-02,  0.43535E+02,  0.79387E+03
  0.85246E+02,  0.50000E+00,  0.30000E-02,  0.43535E+02,  0.79387E+03
  0.56253E+02,  0.25000E-01,  0.45000E-02,  0.43535E+02,  0.79387E+03
  0.67042E+02,  0.50000E-01,  0.45000E-02,  0.43535E+02,  0.79387E+03
  0.74692E+02,  0.75000E-01,  0.45000E-02,  0.43535E+02,  0.79387E+03
  0.80265E+02,  0.10000E+00,  0.45000E-02,  0.43535E+02,  0.79387E+03
  0.84558E+02,  0.12500E+00,  0.45000E-02,  0.43535E+02,  0.79387E+03
  0.87923E+02,  0.15000E+00,  0.45000E-02,  0.43535E+02,  0.79387E+03
  0.91426E+02,  0.17500E+00,  0.45000E-02,  0.43535E+02,  0.79387E+03
  0.92939E+02,  0.20000E+00,  0.45000E-02,  0.43535E+02,  0.79387E+03
  0.94685E+02,  0.22500E+00,  0.45000E-02,  0.43535E+02,  0.79387E+03
  0.95829E+02,  0.25000E+00,  0.45000E-02,  0.43535E+02,  0.79387E+03
  0.96892E+02,  0.27500E+00,  0.45000E-02,  0.43535E+02,  0.79387E+03
  0.96741E+02,  0.30000E+00,  0.45000E-02,  0.43535E+02,  0.79387E+03
  0.97388E+02,  0.32500E+00,  0.45000E-02,  0.43535E+02,  0.79387E+03
  0.97843E+02,  0.35000E+00,  0.45000E-02,  0.43535E+02,  0.79387E+03
  0.98216E+02,  0.37500E+00,  0.45000E-02,  0.43535E+02,  0.79387E+03
  0.98424E+02,  0.40000E+00,  0.45000E-02,  0.43535E+02,  0.79387E+03
  0.98652E+02,  0.42500E+00,  0.45000E-02,  0.43535E+02,  0.79387E+03
  0.98756E+02,  0.45000E+00,  0.45000E-02,  0.43535E+02,  0.79387E+03
  0.98970E+02,  0.47500E+00,  0.45000E-02,  0.43535E+02,  0.79387E+03
  0.99281E+02,  0.50000E+00,  0.45000E-02,  0.43535E+02,  0.79387E+03
  0.52883E+02,  0.25000E-01,  0.60000E-02,  0.43535E+02,  0.79387E+03
  0.62408E+02,  0.50000E-01,  0.60000E-02,  0.43535E+02,  0.79387E+03
  0.71842E+02,  0.75000E-01,  0.60000E-02,  0.43535E+02,  0.79387E+03
  0.80423E+02,  0.10000E+00,  0.60000E-02,  0.43535E+02,  0.79387E+03
  0.87171E+02,  0.12500E+00,  0.60000E-02,  0.43535E+02,  0.79387E+03
  0.91774E+02,  0.15000E+00,  0.60000E-02,  0.43535E+02,  0.79387E+03
  0.96350E+02,  0.17500E+00,  0.60000E-02,  0.43535E+02,  0.79387E+03
  0.99254E+02,  0.20000E+00,  0.60000E-02,  0.43535E+02,  0.79387E+03
  0.10103E+03,  0.22500E+00,  0.60000E-02,  0.43535E+02,  0.79387E+03
  0.10410E+03,  0.25000E+00,  0.60000E-02,  0.43535E+02,  0.79387E+03
  0.10486E+03,  0.27500E+00,  0.60000E-02,  0.43535E+02,  0.79386E+03
  0.10754E+03,  0.30000E+00,  0.60000E-02,  0.43535E+02,  0.79387E+03
  0.10739E+03,  0.32500E+00,  0.60000E-02,  0.43535E+02,  0.79387E+03
  0.10841E+03,  0.35000E+00,  0.60000E-02,  0.43535E+02,  0.79387E+03
  0.11045E+03,  0.37500E+00,  0.60000E-02,  0.43535E+02,  0.79387E+03
  0.10977E+03,  0.40000E+00,  0.60000E-02,  0.43535E+02,  0.79387E+03
  0.11023E+03,  0.42500E+00,  0.60000E-02,  0.43535E+02,  0.79387E+03
  0.11064E+03,  0.45000E+00,  0.60000E-02,  0.43535E+02,  0.79387E+03
  0.11093E+03,  0.47500E+00,  0.60000E-02,  0.43535E+02,  0.79387E+03
  0.11126E+03,  0.50000E+00,  0.60000E-02,  0.43535E+02,  0.79387E+03
  0.49549E+02,  0.25000E-01,  0.75000E-02,  0.43535E+02,  0.79387E+03
  0.57791E+02,  0.50000E-01,  0.75000E-02,  0.43535E+02,  0.79387E+03
  0.68243E+02,  0.75000E-01,  0.75000E-02,  0.43535E+02,  0.79387E+03
  0.77724E+02,  0.10000E+00,  0.75000E-02,  0.43535E+02,  0.79387E+03
  0.85749E+02,  0.12500E+00,  0.75000E-02,  0.43535E+02,  0.79387E+03
  0.93040E+02,  0.15000E+00,  0.75000E-02,  0.43535E+02,  0.79387E+03
  0.98049E+02,  0.17500E+00,  0.75000E-02,  0.43535E+02,  0.79387E+03
  0.10329E+03,  0.20000E+00,  0.75000E-02,  0.43535E+02,  0.79387E+03
  0.10669E+03,  0.22500E+00,  0.75000E-02,  0.43535E+02,  0.79387E+03
  0.10872E+03,  0.25000E+00,  0.75000E-02,  0.43535E+02,  0.79387E+03
  0.11223E+03,  0.27500E+00,  0.75000E-02,  0.43535E+02,  0.79387E+03
  0.11357E+03,  0.30000E+00,  0.75000E-02,  0.43535E+02,  0.79387E+03
  0.11701E+03,  0.32500E+00,  0.75000E-02,  0.43535E+02,  0.79387E+03
  0.11661E+03,  0.35000E+00,  0.75000E-02,  0.43535E+02,  0.79387E+03
  0.11954E+03,  0.37500E+00,  0.75000E-02,  0.43535E+02,  0.79387E+03
  0.11903E+03,  0.40000E+00,  0.75000E-02,  0.43535E+02,  0.79387E+03
  0.12179E+03,  0.42500E+00,  0.75000E-02,  0.43535E+02,  0.79387E+03
  0.12069E+03,  0.45000E+00,  0.75000E-02,  0.43535E+02,  0.79387E+03
  0.12315E+03,  0.47500E+00,  0.75000E-02,  0.43535E+02,  0.79387E+03
  0.12364E+03,  0.50000E+00,  0.75000E-02,  0.43535E+02,  0.79387E+03
  0.46892E+02,  0.25000E-01,  0.90000E-02,  0.43535E+02,  0.79387E+03
  0.54500E+02,  0.50000E-01,  0.90000E-02,  0.43535E+02,  0.79387E+03
  0.63552E+02,  0.75000E-01,  0.90000E-02,  0.43535E+02,  0.79387E+03
  0.73296E+02,  0.10000E+00,  0.90000E-02,  0.43535E+02,  0.79387E+03
  0.82346E+02,  0.12500E+00,  0.90000E-02,  0.43535E+02,  0.79387E+03
  0.91712E+02,  0.15000E+00,  0.90000E-02,  0.43535E+02,  0.79387E+03
  0.98489E+02,  0.17500E+00,  0.90000E-02,  0.43535E+02,  0.79387E+03
  0.10376E+03,  0.20000E+00,  0.90000E-02,  0.43535E+02,  0.79387E+03
  0.10873E+03,  0.22500E+00,  0.90000E-02,  0.43535E+02,  0.79387E+03
  0.11234E+03,  0.25000E+00,  0.90000E-02,  0.43535E+02,  0.79387E+03
  0.11649E+03,  0.27500E+00,  0.90000E-02,  0.43535E+02,  0.79387E+03
  0.11960E+03,  0.30000E+00,  0.90000E-02,  0.43535E+02,  0.79387E+03
