initial NOx and VOCR concentration:   0.63300E-02,  0.16973E+00
 O3,ivoc,inox,N(V),S(VI)
  0.45553E+02,  0.25000E-01,  0.15000E-02,  0.12804E+02,  0.11951E+04
  0.49129E+02,  0.50000E-01,  0.15000E-02,  0.12804E+02,  0.11951E+04
  0.51948E+02,  0.75000E-01,  0.15000E-02,  0.12804E+02,  0.11951E+04
  0.51199E+02,  0.10000E+00,  0.15000E-02,  0.12804E+02,  0.11951E+04
  0.54040E+02,  0.12500E+00,  0.15000E-02,  0.12804E+02,  0.11951E+04
  0.52044E+02,  0.15000E+00,  0.15000E-02,  0.12804E+02,  0.11951E+04
  0.52250E+02,  0.17500E+00,  0.15000E-02,  0.12804E+02,  0.11951E+04
  0.52353E+02,  0.20000E+00,  0.15000E-02,  0.12804E+02,  0.11951E+04
  0.52435E+02,  0.22500E+00,  0.15000E-02,  0.12804E+02,  0.11951E+04
  0.52481E+02,  0.25000E+00,  0.15000E-02,  0.12804E+02,  0.11951E+04
  0.52389E+02,  0.27500E+00,  0.15000E-02,  0.12804E+02,  0.11951E+04
  0.52485E+02,  0.30000E+00,  0.15000E-02,  0.12804E+02,  0.11951E+04
  0.52363E+02,  0.32500E+00,  0.15000E-02,  0.12804E+02,  0.11951E+04
  0.52321E+02,  0.35000E+00,  0.15000E-02,  0.12804E+02,  0.11951E+04
  0.52271E+02,  0.37500E+00,  0.15000E-02,  0.12804E+02,  0.11951E+04
  0.52388E+02,  0.40000E+00,  0.15000E-02,  0.12804E+02,  0.11951E+04
  0.52331E+02,  0.42500E+00,  0.15000E-02,  0.12804E+02,  0.11951E+04
  0.52326E+02,  0.45000E+00,  0.15000E-02,  0.12804E+02,  0.11951E+04
  0.52235E+02,  0.47500E+00,  0.15000E-02,  0.12804E+02,  0.11951E+04
  0.52194E+02,  0.50000E+00,  0.15000E-02,  0.12804E+02,  0.11951E+04
  0.44494E+02,  0.25000E-01,  0.30000E-02,  0.12804E+02,  0.11951E+04
  0.52445E+02,  0.50000E-01,  0.30000E-02,  0.12804E+02,  0.11951E+04
  0.58263E+02,  0.75000E-01,  0.30000E-02,  0.12804E+02,  0.11951E+04
  0.60303E+02,  0.10000E+00,  0.30000E-02,  0.12804E+02,  0.11951E+04
  0.62051E+02,  0.12500E+00,  0.30000E-02,  0.12804E+02,  0.11951E+04
  0.63387E+02,  0.15000E+00,  0.30000E-02,  0.12804E+02,  0.11951E+04
  0.64322E+02,  0.17500E+00,  0.30000E-02,  0.12804E+02,  0.11951E+04
  0.64925E+02,  0.20000E+00,  0.30000E-02,  0.12804E+02,  0.11951E+04
  0.65389E+02,  0.22500E+00,  0.30000E-02,  0.12804E+02,  0.11951E+04
  0.65763E+02,  0.25000E+00,  0.30000E-02,  0.12804E+02,  0.11951E+04
  0.65957E+02,  0.27500E+00,  0.30000E-02,  0.12804E+02,  0.11951E+04
  0.66110E+02,  0.30000E+00,  0.30000E-02,  0.12804E+02,  0.11951E+04
  0.66159E+02,  0.32500E+00,  0.30000E-02,  0.12804E+02,  0.11951E+04
  0.66206E+02,  0.35000E+00,  0.30000E-02,  0.12804E+02,  0.11951E+04
  0.66321E+02,  0.37500E+00,  0.30000E-02,  0.12804E+02,  0.11951E+04
  0.66352E+02,  0.40000E+00,  0.30000E-02,  0.12804E+02,  0.11951E+04
  0.66319E+02,  0.42500E+00,  0.30000E-02,  0.12804E+02,  0.11951E+04
  0.66343E+02,  0.45000E+00,  0.30000E-02,  0.12804E+02,  0.11951E+04
