initial NOx and VOCR concentration:   0.43000E-02,  0.88231E-01
 O3,ivoc,inox,N(V),S(VI)
  0.50571E+02,  0.25000E-01,  0.15000E-02,  0.10243E+02,  0.58046E+03
  0.53849E+02,  0.50000E-01,  0.15000E-02,  0.10243E+02,  0.58046E+03
  0.56099E+02,  0.75000E-01,  0.15000E-02,  0.10243E+02,  0.58046E+03
  0.55571E+02,  0.10000E+00,  0.15000E-02,  0.10243E+02,  0.58046E+03
  0.56954E+02,  0.12500E+00,  0.15000E-02,  0.10243E+02,  0.58046E+03
  0.56919E+02,  0.15000E+00,  0.15000E-02,  0.10243E+02,  0.58046E+03
  0.57374E+02,  0.17500E+00,  0.15000E-02,  0.10243E+02,  0.58046E+03
  0.57374E+02,  0.20000E+00,  0.15000E-02,  0.10243E+02,  0.58046E+03
  0.57764E+02,  0.22500E+00,  0.15000E-02,  0.10243E+02,  0.58046E+03
  0.57360E+02,  0.25000E+00,  0.15000E-02,  0.10243E+02,  0.58046E+03
  0.57876E+02,  0.27500E+00,  0.15000E-02,  0.10243E+02,  0.58046E+03
  0.57649E+02,  0.30000E+00,  0.15000E-02,  0.10243E+02,  0.58046E+03
  0.58085E+02,  0.32500E+00,  0.15000E-02,  0.10243E+02,  0.58046E+03
  0.57929E+02,  0.35000E+00,  0.15000E-02,  0.10243E+02,  0.58046E+03
  0.57918E+02,  0.37500E+00,  0.15000E-02,  0.10243E+02,  0.58046E+03
  0.58114E+02,  0.40000E+00,  0.15000E-02,  0.10243E+02,  0.58046E+03
  0.57966E+02,  0.42500E+00,  0.15000E-02,  0.10243E+02,  0.58046E+03
  0.57740E+02,  0.45000E+00,  0.15000E-02,  0.10243E+02,  0.58046E+03
  0.57932E+02,  0.47500E+00,  0.15000E-02,  0.10243E+02,  0.58046E+03
  0.57967E+02,  0.50000E+00,  0.15000E-02,  0.10243E+02,  0.58046E+03
  0.48423E+02,  0.25000E-01,  0.30000E-02,  0.10243E+02,  0.58046E+03
  0.55972E+02,  0.50000E-01,  0.30000E-02,  0.10243E+02,  0.58046E+03
  0.61376E+02,  0.75000E-01,  0.30000E-02,  0.10243E+02,  0.58046E+03
  0.62706E+02,  0.10000E+00,  0.30000E-02,  0.10243E+02,  0.58046E+03
  0.66867E+02,  0.12500E+00,  0.30000E-02,  0.10243E+02,  0.58046E+03
  0.68180E+02,  0.15000E+00,  0.30000E-02,  0.10243E+02,  0.58046E+03
  0.67621E+02,  0.17500E+00,  0.30000E-02,  0.10243E+02,  0.58046E+03
  0.68350E+02,  0.20000E+00,  0.30000E-02,  0.10243E+02,  0.58046E+03
  0.69113E+02,  0.22500E+00,  0.30000E-02,  0.10243E+02,  0.58046E+03
  0.70950E+02,  0.25000E+00,  0.30000E-02,  0.10243E+02,  0.58046E+03
  0.71372E+02,  0.27500E+00,  0.30000E-02,  0.10243E+02,  0.58046E+03
  0.71802E+02,  0.30000E+00,  0.30000E-02,  0.10243E+02,  0.58046E+03
  0.71942E+02,  0.32500E+00,  0.30000E-02,  0.10243E+02,  0.58046E+03
  0.72438E+02,  0.35000E+00,  0.30000E-02,  0.10243E+02,  0.58046E+03
  0.72494E+02,  0.37500E+00,  0.30000E-02,  0.10243E+02,  0.58046E+03
  0.72274E+02,  0.40000E+00,  0.30000E-02,  0.10243E+02,  0.58046E+03
  0.73017E+02,  0.42500E+00,  0.30000E-02,  0.10243E+02,  0.58046E+03
  0.72953E+02,  0.45000E+00,  0.30000E-02,  0.10243E+02,  0.58046E+03
  0.72925E+02,  0.47500E+00,  0.30000E-02,  0.10243E+02,  0.58046E+03
  0.73185E+02,  0.50000E+00,  0.30000E-02,  0.10243E+02,  0.58046E+03
  0.44754E+02,  0.25000E-01,  0.45000E-02,  0.10243E+02,  0.58046E+03
  0.52437E+02,  0.50000E-01,  0.45000E-02,  0.10243E+02,  0.58046E+03
  0.60146E+02,  0.75000E-01,  0.45000E-02,  0.10243E+02,  0.58046E+03
