initial NOx and VOCR concentration:   0.28150E-01,  0.41407E+00
 O3,ivoc,inox,N(V),S(VI)
  0.63313E+02,  0.25000E-01,  0.15000E-02,  0.21340E+02,  0.10243E+04
  0.68435E+02,  0.50000E-01,  0.15000E-02,  0.21340E+02,  0.10243E+04
  0.71803E+02,  0.75000E-01,  0.15000E-02,  0.21340E+02,  0.10243E+04
  0.73814E+02,  0.10000E+00,  0.15000E-02,  0.21340E+02,  0.10243E+04
  0.76154E+02,  0.12500E+00,  0.15000E-02,  0.21340E+02,  0.10243E+04
  0.77165E+02,  0.15000E+00,  0.15000E-02,  0.21340E+02,  0.10243E+04
  0.77792E+02,  0.17500E+00,  0.15000E-02,  0.21340E+02,  0.10243E+04
  0.79423E+02,  0.20000E+00,  0.15000E-02,  0.21340E+02,  0.10243E+04
  0.76222E+02,  0.22500E+00,  0.15000E-02,  0.21340E+02,  0.10243E+04
  0.79169E+02,  0.25000E+00,  0.15000E-02,  0.21340E+02,  0.10243E+04
  0.80254E+02,  0.27500E+00,  0.15000E-02,  0.21340E+02,  0.10243E+04
  0.80640E+02,  0.30000E+00,  0.15000E-02,  0.21340E+02,  0.10243E+04
  0.80844E+02,  0.32500E+00,  0.15000E-02,  0.21340E+02,  0.10243E+04
  0.81005E+02,  0.35000E+00,  0.15000E-02,  0.21340E+02,  0.10243E+04
  0.80318E+02,  0.37500E+00,  0.15000E-02,  0.21340E+02,  0.10243E+04
  0.80522E+02,  0.40000E+00,  0.15000E-02,  0.21340E+02,  0.10243E+04
  0.81522E+02,  0.42500E+00,  0.15000E-02,  0.21340E+02,  0.10243E+04
  0.80490E+02,  0.45000E+00,  0.15000E-02,  0.21340E+02,  0.10243E+04
  0.75433E+02,  0.47500E+00,  0.15000E-02,  0.21340E+02,  0.10243E+04
  0.80790E+02,  0.50000E+00,  0.15000E-02,  0.21340E+02,  0.10243E+04
  0.64635E+02,  0.25000E-01,  0.30000E-02,  0.21340E+02,  0.10243E+04
  0.72670E+02,  0.50000E-01,  0.30000E-02,  0.21340E+02,  0.10243E+04
  0.78435E+02,  0.75000E-01,  0.30000E-02,  0.21340E+02,  0.10243E+04
  0.80884E+02,  0.10000E+00,  0.30000E-02,  0.21340E+02,  0.10243E+04
  0.84508E+02,  0.12500E+00,  0.30000E-02,  0.21340E+02,  0.10243E+04
  0.89455E+02,  0.15000E+00,  0.30000E-02,  0.21340E+02,  0.10243E+04
  0.86991E+02,  0.17500E+00,  0.30000E-02,  0.21340E+02,  0.10243E+04
  0.91364E+02,  0.20000E+00,  0.30000E-02,  0.21340E+02,  0.10243E+04
  0.88974E+02,  0.22500E+00,  0.30000E-02,  0.21340E+02,  0.10243E+04
  0.89844E+02,  0.25000E+00,  0.30000E-02,  0.21340E+02,  0.10243E+04
  0.94738E+02,  0.27500E+00,  0.30000E-02,  0.21340E+02,  0.10243E+04
  0.90397E+02,  0.30000E+00,  0.30000E-02,  0.21340E+02,  0.10243E+04
  0.95660E+02,  0.32500E+00,  0.30000E-02,  0.21340E+02,  0.10243E+04
  0.90815E+02,  0.35000E+00,  0.30000E-02,  0.21340E+02,  0.10243E+04
  0.90941E+02,  0.37500E+00,  0.30000E-02,  0.21340E+02,  0.10243E+04
  0.90683E+02,  0.40000E+00,  0.30000E-02,  0.21340E+02,  0.10243E+04
  0.91100E+02,  0.42500E+00,  0.30000E-02,  0.21340E+02,  0.10243E+04
  0.91182E+02,  0.45000E+00,  0.30000E-02,  0.21340E+02,  0.10243E+04
  0.91053E+02,  0.47500E+00,  0.30000E-02,  0.21340E+02,  0.10243E+04
  0.90819E+02,  0.50000E+00,  0.30000E-02,  0.21340E+02,  0.10243E+04
  0.62841E+02,  0.25000E-01,  0.45000E-02,  0.21340E+02,  0.10243E+04
  0.73211E+02,  0.50000E-01,  0.45000E-02,  0.21340E+02,  0.10243E+04
  0.79997E+02,  0.75000E-01,  0.45000E-02,  0.21340E+02,  0.10243E+04
  0.84991E+02,  0.10000E+00,  0.45000E-02,  0.21340E+02,  0.10243E+04
  0.89446E+02,  0.12500E+00,  0.45000E-02,  0.21340E+02,  0.10243E+04
  0.92930E+02,  0.15000E+00,  0.45000E-02,  0.21340E+02,  0.10243E+04
  0.95381E+02,  0.17500E+00,  0.45000E-02,  0.21340E+02,  0.10243E+04
  0.97930E+02,  0.20000E+00,  0.45000E-02,  0.21341E+02,  0.10243E+04
  0.10251E+03,  0.22500E+00,  0.45000E-02,  0.21340E+02,  0.10243E+04
  0.10515E+03,  0.25000E+00,  0.45000E-02,  0.21340E+02,  0.10243E+04
  0.10152E+03,  0.27500E+00,  0.45000E-02,  0.21340E+02,  0.10243E+04
  0.10230E+03,  0.30000E+00,  0.45000E-02,  0.21340E+02,  0.10243E+04
  0.10287E+03,  0.32500E+00,  0.45000E-02,  0.21340E+02,  0.10243E+04
  0.10335E+03,  0.35000E+00,  0.45000E-02,  0.21340E+02,  0.10243E+04
  0.10347E+03,  0.37500E+00,  0.45000E-02,  0.21340E+02,  0.10243E+04
  0.10398E+03,  0.40000E+00,  0.45000E-02,  0.21340E+02,  0.10243E+04
  0.10416E+03,  0.42500E+00,  0.45000E-02,  0.21340E+02,  0.10243E+04
  0.10417E+03,  0.45000E+00,  0.45000E-02,  0.21340E+02,  0.10243E+04
  0.10432E+03,  0.47500E+00,  0.45000E-02,  0.21340E+02,  0.10243E+04
  0.10451E+03,  0.50000E+00,  0.45000E-02,  0.21340E+02,  0.10243E+04
  0.57641E+02,  0.25000E-01,  0.60000E-02,  0.21340E+02,  0.10243E+04
  0.68632E+02,  0.50000E-01,  0.60000E-02,  0.21340E+02,  0.10243E+04
  0.78993E+02,  0.75000E-01,  0.60000E-02,  0.21340E+02,  0.10243E+04
  0.86836E+02,  0.10000E+00,  0.60000E-02,  0.21340E+02,  0.10243E+04
  0.92648E+02,  0.12500E+00,  0.60000E-02,  0.21340E+02,  0.10243E+04
  0.97232E+02,  0.15000E+00,  0.60000E-02,  0.21340E+02,  0.10243E+04
  0.10130E+03,  0.17500E+00,  0.60000E-02,  0.21340E+02,  0.10243E+04
  0.10576E+03,  0.20000E+00,  0.60000E-02,  0.21340E+02,  0.10243E+04
  0.10627E+03,  0.22500E+00,  0.60000E-02,  0.21340E+02,  0.10243E+04
  0.10930E+03,  0.25000E+00,  0.60000E-02,  0.21340E+02,  0.10243E+04
  0.11025E+03,  0.27500E+00,  0.60000E-02,  0.21340E+02,  0.10243E+04
  0.11139E+03,  0.30000E+00,  0.60000E-02,  0.21340E+02,  0.10243E+04
  0.11260E+03,  0.32500E+00,  0.60000E-02,  0.21340E+02,  0.10243E+04
  0.11498E+03,  0.35000E+00,  0.60000E-02,  0.21340E+02,  0.10243E+04
  0.11426E+03,  0.37500E+00,  0.60000E-02,  0.21340E+02,  0.10243E+04
  0.11644E+03,  0.40000E+00,  0.60000E-02,  0.21340E+02,  0.10243E+04
  0.11534E+03,  0.42500E+00,  0.60000E-02,  0.21340E+02,  0.10243E+04
  0.11577E+03,  0.45000E+00,  0.60000E-02,  0.21341E+02,  0.10243E+04
  0.11614E+03,  0.47500E+00,  0.60000E-02,  0.21340E+02,  0.10243E+04
  0.11841E+03,  0.50000E+00,  0.60000E-02,  0.21340E+02,  0.10243E+04
  0.53617E+02,  0.25000E-01,  0.75000E-02,  0.21340E+02,  0.10243E+04
  0.64095E+02,  0.50000E-01,  0.75000E-02,  0.21340E+02,  0.10243E+04
  0.75028E+02,  0.75000E-01,  0.75000E-02,  0.21340E+02,  0.10243E+04
  0.84668E+02,  0.10000E+00,  0.75000E-02,  0.21340E+02,  0.10243E+04
  0.93110E+02,  0.12500E+00,  0.75000E-02,  0.21340E+02,  0.10243E+04
  0.99194E+02,  0.15000E+00,  0.75000E-02,  0.21340E+02,  0.10243E+04
  0.10406E+03,  0.17500E+00,  0.75000E-02,  0.21340E+02,  0.10243E+04
  0.10876E+03,  0.20000E+00,  0.75000E-02,  0.21340E+02,  0.10243E+04
  0.11130E+03,  0.22500E+00,  0.75000E-02,  0.21340E+02,  0.10243E+04
  0.11500E+03,  0.25000E+00,  0.75000E-02,  0.21340E+02,  0.10243E+04
  0.11647E+03,  0.27500E+00,  0.75000E-02,  0.21340E+02,  0.10243E+04
  0.11985E+03,  0.30000E+00,  0.75000E-02,  0.21340E+02,  0.10243E+04
  0.12175E+03,  0.32500E+00,  0.75000E-02,  0.21340E+02,  0.10243E+04
  0.12318E+03,  0.35000E+00,  0.75000E-02,  0.21341E+02,  0.10243E+04
  0.12472E+03,  0.37500E+00,  0.75000E-02,  0.21340E+02,  0.10243E+04
  0.12588E+03,  0.40000E+00,  0.75000E-02,  0.21340E+02,  0.10243E+04
  0.12491E+03,  0.42500E+00,  0.75000E-02,  0.21340E+02,  0.10243E+04
  0.12767E+03,  0.45000E+00,  0.75000E-02,  0.21340E+02,  0.10243E+04
  0.12807E+03,  0.47500E+00,  0.75000E-02,  0.21340E+02,  0.10243E+04
  0.12678E+03,  0.50000E+00,  0.75000E-02,  0.21340E+02,  0.10243E+04
  0.50197E+02,  0.25000E-01,  0.90000E-02,  0.21340E+02,  0.10243E+04
  0.59469E+02,  0.50000E-01,  0.90000E-02,  0.21340E+02,  0.10243E+04
  0.70513E+02,  0.75000E-01,  0.90000E-02,  0.21340E+02,  0.10243E+04
  0.80727E+02,  0.10000E+00,  0.90000E-02,  0.21340E+02,  0.10243E+04
  0.90095E+02,  0.12500E+00,  0.90000E-02,  0.21340E+02,  0.10243E+04
  0.98597E+02,  0.15000E+00,  0.90000E-02,  0.21340E+02,  0.10243E+04
  0.10517E+03,  0.17500E+00,  0.90000E-02,  0.21340E+02,  0.10243E+04
  0.11058E+03,  0.20000E+00,  0.90000E-02,  0.21340E+02,  0.10243E+04
  0.11513E+03,  0.22500E+00,  0.90000E-02,  0.21340E+02,  0.10243E+04
  0.11906E+03,  0.25000E+00,  0.90000E-02,  0.21340E+02,  0.10243E+04
  0.12228E+03,  0.27500E+00,  0.90000E-02,  0.21340E+02,  0.10243E+04
  0.12524E+03,  0.30000E+00,  0.90000E-02,  0.21340E+02,  0.10243E+04
  0.12765E+03,  0.32500E+00,  0.90000E-02,  0.21340E+02,  0.10243E+04
  0.12957E+03,  0.35000E+00,  0.90000E-02,  0.21340E+02,  0.10243E+04
  0.13163E+03,  0.37500E+00,  0.90000E-02,  0.21340E+02,  0.10243E+04
  0.13302E+03,  0.40000E+00,  0.90000E-02,  0.21340E+02,  0.10243E+04
  0.13452E+03,  0.42500E+00,  0.90000E-02,  0.21340E+02,  0.10243E+04
  0.13581E+03,  0.45000E+00,  0.90000E-02,  0.21340E+02,  0.10243E+04
  0.13708E+03,  0.47500E+00,  0.90000E-02,  0.21340E+02,  0.10243E+04
  0.13783E+03,  0.50000E+00,  0.90000E-02,  0.21340E+02,  0.10243E+04
  0.47156E+02,  0.25000E-01,  0.10500E-01,  0.21340E+02,  0.10243E+04
  0.55617E+02,  0.50000E-01,  0.10500E-01,  0.21340E+02,  0.10243E+04
  0.65700E+02,  0.75000E-01,  0.10500E-01,  0.21340E+02,  0.10243E+04
  0.76691E+02,  0.10000E+00,  0.10500E-01,  0.21340E+02,  0.10243E+04
  0.87525E+02,  0.12500E+00,  0.10500E-01,  0.21340E+02,  0.10243E+04
  0.96453E+02,  0.15000E+00,  0.10500E-01,  0.21340E+02,  0.10243E+04
  0.10422E+03,  0.17500E+00,  0.10500E-01,  0.21340E+02,  0.10243E+04
  0.11060E+03,  0.20000E+00,  0.10500E-01,  0.21340E+02,  0.10243E+04
  0.11614E+03,  0.22500E+00,  0.10500E-01,  0.21340E+02,  0.10243E+04
  0.12042E+03,  0.25000E+00,  0.10500E-01,  0.21340E+02,  0.10243E+04
  0.12426E+03,  0.27500E+00,  0.10500E-01,  0.21340E+02,  0.10243E+04
  0.12917E+03,  0.30000E+00,  0.10500E-01,  0.21341E+02,  0.10243E+04
  0.13188E+03,  0.32500E+00,  0.10500E-01,  0.21340E+02,  0.10243E+04
  0.13459E+03,  0.35000E+00,  0.10500E-01,  0.21340E+02,  0.10243E+04
  0.13550E+03,  0.37500E+00,  0.10500E-01,  0.21340E+02,  0.10243E+04
  0.13912E+03,  0.40000E+00,  0.10500E-01,  0.21340E+02,  0.10243E+04
  0.13930E+03,  0.42500E+00,  0.10500E-01,  0.21340E+02,  0.10243E+04
  0.14281E+03,  0.45000E+00,  0.10500E-01,  0.21340E+02,  0.10243E+04
  0.14426E+03,  0.47500E+00,  0.10500E-01,  0.21340E+02,  0.10243E+04
  0.14522E+03,  0.50000E+00,  0.10500E-01,  0.21340E+02,  0.10243E+04
  0.44787E+02,  0.25000E-01,  0.12000E-01,  0.21340E+02,  0.10243E+04
  0.52786E+02,  0.50000E-01,  0.12000E-01,  0.21340E+02,  0.10243E+04
  0.61604E+02,  0.75000E-01,  0.12000E-01,  0.21340E+02,  0.10243E+04
  0.71992E+02,  0.10000E+00,  0.12000E-01,  0.21341E+02,  0.10243E+04
  0.82760E+02,  0.12500E+00,  0.12000E-01,  0.21340E+02,  0.10243E+04
  0.92598E+02,  0.15000E+00,  0.12000E-01,  0.21340E+02,  0.10243E+04
  0.10183E+03,  0.17500E+00,  0.12000E-01,  0.21340E+02,  0.10243E+04
  0.10862E+03,  0.20000E+00,  0.12000E-01,  0.21340E+02,  0.10243E+04
  0.11568E+03,  0.22500E+00,  0.12000E-01,  0.21340E+02,  0.10243E+04
  0.12130E+03,  0.25000E+00,  0.12000E-01,  0.21340E+02,  0.10243E+04
  0.12632E+03,  0.27500E+00,  0.12000E-01,  0.21340E+02,  0.10243E+04
  0.13091E+03,  0.30000E+00,  0.12000E-01,  0.21340E+02,  0.10243E+04
  0.13453E+03,  0.32500E+00,  0.12000E-01,  0.21340E+02,  0.10243E+04
  0.13825E+03,  0.35000E+00,  0.12000E-01,  0.21340E+02,  0.10243E+04
  0.14107E+03,  0.37500E+00,  0.12000E-01,  0.21340E+02,  0.10243E+04
  0.14393E+03,  0.40000E+00,  0.12000E-01,  0.21340E+02,  0.10243E+04
  0.14658E+03,  0.42500E+00,  0.12000E-01,  0.21340E+02,  0.10243E+04
  0.14612E+03,  0.45000E+00,  0.12000E-01,  0.21340E+02,  0.10243E+04
  0.14789E+03,  0.47500E+00,  0.12000E-01,  0.21340E+02,  0.10243E+04
  0.14950E+03,  0.50000E+00,  0.12000E-01,  0.21340E+02,  0.10243E+04
  0.42828E+02,  0.25000E-01,  0.13500E-01,  0.21340E+02,  0.10243E+04
  0.49902E+02,  0.50000E-01,  0.13500E-01,  0.21340E+02,  0.10243E+04
  0.58444E+02,  0.75000E-01,  0.13500E-01,  0.21340E+02,  0.10243E+04
  0.67948E+02,  0.10000E+00,  0.13500E-01,  0.21340E+02,  0.10243E+04
  0.78182E+02,  0.12500E+00,  0.13500E-01,  0.21340E+02,  0.10243E+04
  0.86804E+02,  0.15000E+00,  0.13500E-01,  0.21340E+02,  0.10243E+04
  0.97278E+02,  0.17500E+00,  0.13500E-01,  0.21340E+02,  0.10243E+04
  0.10458E+03,  0.20000E+00,  0.13500E-01,  0.21340E+02,  0.10243E+04
  0.11324E+03,  0.22500E+00,  0.13500E-01,  0.21340E+02,  0.10243E+04
  0.12067E+03,  0.25000E+00,  0.13500E-01,  0.21340E+02,  0.10243E+04
  0.12572E+03,  0.27500E+00,  0.13500E-01,  0.21340E+02,  0.10243E+04
  0.13125E+03,  0.30000E+00,  0.13500E-01,  0.21340E+02,  0.10243E+04
  0.13567E+03,  0.32500E+00,  0.13500E-01,  0.21341E+02,  0.10243E+04
  0.13972E+03,  0.35000E+00,  0.13500E-01,  0.21340E+02,  0.10243E+04
  0.14351E+03,  0.37500E+00,  0.13500E-01,  0.21340E+02,  0.10243E+04
  0.14715E+03,  0.40000E+00,  0.13500E-01,  0.21340E+02,  0.10243E+04
  0.14990E+03,  0.42500E+00,  0.13500E-01,  0.21340E+02,  0.10243E+04
  0.15310E+03,  0.45000E+00,  0.13500E-01,  0.21340E+02,  0.10243E+04
  0.15335E+03,  0.47500E+00,  0.13500E-01,  0.21340E+02,  0.10243E+04
  0.15526E+03,  0.50000E+00,  0.13500E-01,  0.21340E+02,  0.10243E+04
  0.40883E+02,  0.25000E-01,  0.15000E-01,  0.21340E+02,  0.10243E+04
  0.47688E+02,  0.50000E-01,  0.15000E-01,  0.21340E+02,  0.10243E+04
  0.55537E+02,  0.75000E-01,  0.15000E-01,  0.21340E+02,  0.10243E+04
  0.63916E+02,  0.10000E+00,  0.15000E-01,  0.21340E+02,  0.10243E+04
  0.73425E+02,  0.12500E+00,  0.15000E-01,  0.21340E+02,  0.10243E+04
  0.83496E+02,  0.15000E+00,  0.15000E-01,  0.21340E+02,  0.10243E+04
  0.92245E+02,  0.17500E+00,  0.15000E-01,  0.21340E+02,  0.10243E+04
  0.10120E+03,  0.20000E+00,  0.15000E-01,  0.21340E+02,  0.10243E+04
  0.10860E+03,  0.22500E+00,  0.15000E-01,  0.21340E+02,  0.10243E+04
  0.11596E+03,  0.25000E+00,  0.15000E-01,  0.21340E+02,  0.10243E+04
  0.12296E+03,  0.27500E+00,  0.15000E-01,  0.21340E+02,  0.10243E+04
  0.13002E+03,  0.30000E+00,  0.15000E-01,  0.21340E+02,  0.10243E+04
  0.13545E+03,  0.32500E+00,  0.15000E-01,  0.21340E+02,  0.10243E+04
  0.14015E+03,  0.35000E+00,  0.15000E-01,  0.21340E+02,  0.10243E+04
  0.14455E+03,  0.37500E+00,  0.15000E-01,  0.21340E+02,  0.10243E+04
  0.14862E+03,  0.40000E+00,  0.15000E-01,  0.21340E+02,  0.10243E+04
  0.15210E+03,  0.42500E+00,  0.15000E-01,  0.21340E+02,  0.10243E+04
  0.15560E+03,  0.45000E+00,  0.15000E-01,  0.21340E+02,  0.10243E+04
  0.15844E+03,  0.47500E+00,  0.15000E-01,  0.21340E+02,  0.10243E+04
  0.16074E+03,  0.50000E+00,  0.15000E-01,  0.21340E+02,  0.10243E+04
  0.39923E+02,  0.25000E-01,  0.16500E-01,  0.21340E+02,  0.10243E+04
  0.45877E+02,  0.50000E-01,  0.16500E-01,  0.21340E+02,  0.10243E+04
  0.52464E+02,  0.75000E-01,  0.16500E-01,  0.21340E+02,  0.10243E+04
  0.60564E+02,  0.10000E+00,  0.16500E-01,  0.21340E+02,  0.10243E+04
  0.70254E+02,  0.12500E+00,  0.16500E-01,  0.21340E+02,  0.10243E+04
  0.79646E+02,  0.15000E+00,  0.16500E-01,  0.21340E+02,  0.10243E+04
  0.87156E+02,  0.17500E+00,  0.16500E-01,  0.21340E+02,  0.10243E+04
  0.96845E+02,  0.20000E+00,  0.16500E-01,  0.21340E+02,  0.10243E+04
  0.10504E+03,  0.22500E+00,  0.16500E-01,  0.21340E+02,  0.10243E+04
  0.11295E+03,  0.25000E+00,  0.16500E-01,  0.21340E+02,  0.10243E+04
  0.12096E+03,  0.27500E+00,  0.16500E-01,  0.21340E+02,  0.10243E+04
  0.12747E+03,  0.30000E+00,  0.16500E-01,  0.21340E+02,  0.10243E+04
  0.13434E+03,  0.32500E+00,  0.16500E-01,  0.21340E+02,  0.10243E+04
  0.13960E+03,  0.35000E+00,  0.16500E-01,  0.21340E+02,  0.10243E+04
  0.14473E+03,  0.37500E+00,  0.16500E-01,  0.21340E+02,  0.10243E+04
  0.14942E+03,  0.40000E+00,  0.16500E-01,  0.21340E+02,  0.10243E+04
  0.15328E+03,  0.42500E+00,  0.16500E-01,  0.21340E+02,  0.10243E+04
  0.15706E+03,  0.45000E+00,  0.16500E-01,  0.21340E+02,  0.10243E+04
  0.16050E+03,  0.47500E+00,  0.16500E-01,  0.21340E+02,  0.10243E+04
  0.16276E+03,  0.50000E+00,  0.16500E-01,  0.21340E+02,  0.10243E+04
  0.38507E+02,  0.25000E-01,  0.18000E-01,  0.21340E+02,  0.10243E+04
  0.43746E+02,  0.50000E-01,  0.18000E-01,  0.21340E+02,  0.10243E+04
  0.50517E+02,  0.75000E-01,  0.18000E-01,  0.21340E+02,  0.10243E+04
  0.57733E+02,  0.10000E+00,  0.18000E-01,  0.21340E+02,  0.10243E+04
  0.67030E+02,  0.12500E+00,  0.18000E-01,  0.21340E+02,  0.10243E+04
  0.75398E+02,  0.15000E+00,  0.18000E-01,  0.21340E+02,  0.10243E+04
  0.84584E+02,  0.17500E+00,  0.18000E-01,  0.21340E+02,  0.10243E+04
  0.93223E+02,  0.20000E+00,  0.18000E-01,  0.21340E+02,  0.10243E+04
  0.10217E+03,  0.22500E+00,  0.18000E-01,  0.21340E+02,  0.10243E+04
  0.10963E+03,  0.25000E+00,  0.18000E-01,  0.21340E+02,  0.10243E+04
  0.11832E+03,  0.27500E+00,  0.18000E-01,  0.21340E+02,  0.10243E+04
  0.12535E+03,  0.30000E+00,  0.18000E-01,  0.21340E+02,  0.10243E+04
  0.13179E+03,  0.32500E+00,  0.18000E-01,  0.21341E+02,  0.10243E+04
  0.13851E+03,  0.35000E+00,  0.18000E-01,  0.21340E+02,  0.10243E+04
  0.14360E+03,  0.37500E+00,  0.18000E-01,  0.21340E+02,  0.10243E+04
  0.14902E+03,  0.40000E+00,  0.18000E-01,  0.21340E+02,  0.10243E+04
  0.15343E+03,  0.42500E+00,  0.18000E-01,  0.21340E+02,  0.10243E+04
  0.15776E+03,  0.45000E+00,  0.18000E-01,  0.21340E+02,  0.10243E+04
  0.16185E+03,  0.47500E+00,  0.18000E-01,  0.21340E+02,  0.10243E+04
  0.16583E+03,  0.50000E+00,  0.18000E-01,  0.21340E+02,  0.10243E+04
  0.37269E+02,  0.25000E-01,  0.19500E-01,  0.21340E+02,  0.10243E+04
  0.42278E+02,  0.50000E-01,  0.19500E-01,  0.21340E+02,  0.10243E+04
  0.48412E+02,  0.75000E-01,  0.19500E-01,  0.21340E+02,  0.10243E+04
  0.55271E+02,  0.10000E+00,  0.19500E-01,  0.21340E+02,  0.10243E+04
  0.62094E+02,  0.12500E+00,  0.19500E-01,  0.21340E+02,  0.10243E+04
  0.71427E+02,  0.15000E+00,  0.19500E-01,  0.21340E+02,  0.10243E+04
  0.80602E+02,  0.17500E+00,  0.19500E-01,  0.21340E+02,  0.10243E+04
  0.88683E+02,  0.20000E+00,  0.19500E-01,  0.21340E+02,  0.10243E+04
  0.98090E+02,  0.22500E+00,  0.19500E-01,  0.21340E+02,  0.10243E+04
  0.10644E+03,  0.25000E+00,  0.19500E-01,  0.21340E+02,  0.10243E+04
  0.11347E+03,  0.27500E+00,  0.19500E-01,  0.21340E+02,  0.10243E+04
  0.12107E+03,  0.30000E+00,  0.19500E-01,  0.21340E+02,  0.10243E+04
  0.12816E+03,  0.32500E+00,  0.19500E-01,  0.21340E+02,  0.10243E+04
  0.13513E+03,  0.35000E+00,  0.19500E-01,  0.21340E+02,  0.10243E+04
  0.14164E+03,  0.37500E+00,  0.19500E-01,  0.21340E+02,  0.10243E+04
  0.14705E+03,  0.40000E+00,  0.19500E-01,  0.21340E+02,  0.10243E+04
  0.15246E+03,  0.42500E+00,  0.19500E-01,  0.21340E+02,  0.10243E+04
  0.15748E+03,  0.45000E+00,  0.19500E-01,  0.21340E+02,  0.10243E+04
  0.16191E+03,  0.47500E+00,  0.19500E-01,  0.21340E+02,  0.10243E+04
  0.16626E+03,  0.50000E+00,  0.19500E-01,  0.21340E+02,  0.10243E+04
  0.35840E+02,  0.25000E-01,  0.21000E-01,  0.21340E+02,  0.10243E+04
  0.40898E+02,  0.50000E-01,  0.21000E-01,  0.21340E+02,  0.10243E+04
