initial NOx and VOCR concentration:   0.65000E-02,  0.17184E+00
 O3,ivoc,inox,N(V),S(VI)
  0.43491E+02,  0.25000E-01,  0.15000E-02,  0.21340E+02,  0.67436E+03
  0.46811E+02,  0.50000E-01,  0.15000E-02,  0.21340E+02,  0.67436E+03
  0.48876E+02,  0.75000E-01,  0.15000E-02,  0.21340E+02,  0.67436E+03
  0.50074E+02,  0.10000E+00,  0.15000E-02,  0.21340E+02,  0.67436E+03
  0.49860E+02,  0.12500E+00,  0.15000E-02,  0.21340E+02,  0.67436E+03
  0.49352E+02,  0.15000E+00,  0.15000E-02,  0.21340E+02,  0.67436E+03
  0.49383E+02,  0.17500E+00,  0.15000E-02,  0.21340E+02,  0.67436E+03
  0.49744E+02,  0.20000E+00,  0.15000E-02,  0.21340E+02,  0.67436E+03
  0.49803E+02,  0.22500E+00,  0.15000E-02,  0.21340E+02,  0.67436E+03
  0.49834E+02,  0.25000E+00,  0.15000E-02,  0.21340E+02,  0.67436E+03
  0.49724E+02,  0.27500E+00,  0.15000E-02,  0.21340E+02,  0.67436E+03
  0.49937E+02,  0.30000E+00,  0.15000E-02,  0.21340E+02,  0.67436E+03
  0.49773E+02,  0.32500E+00,  0.15000E-02,  0.21340E+02,  0.67436E+03
  0.49930E+02,  0.35000E+00,  0.15000E-02,  0.21340E+02,  0.67436E+03
  0.49839E+02,  0.37500E+00,  0.15000E-02,  0.21340E+02,  0.67436E+03
  0.49713E+02,  0.40000E+00,  0.15000E-02,  0.21340E+02,  0.67436E+03
  0.49622E+02,  0.42500E+00,  0.15000E-02,  0.21340E+02,  0.67436E+03
  0.49628E+02,  0.45000E+00,  0.15000E-02,  0.21340E+02,  0.67436E+03
  0.49605E+02,  0.47500E+00,  0.15000E-02,  0.21340E+02,  0.67436E+03
  0.49637E+02,  0.50000E+00,  0.15000E-02,  0.21340E+02,  0.67436E+03
  0.42038E+02,  0.25000E-01,  0.30000E-02,  0.21340E+02,  0.67436E+03
  0.49261E+02,  0.50000E-01,  0.30000E-02,  0.21340E+02,  0.67436E+03
  0.54197E+02,  0.75000E-01,  0.30000E-02,  0.21340E+02,  0.67436E+03
  0.57691E+02,  0.10000E+00,  0.30000E-02,  0.21340E+02,  0.67436E+03
  0.60488E+02,  0.12500E+00,  0.30000E-02,  0.21340E+02,  0.67436E+03
  0.59722E+02,  0.15000E+00,  0.30000E-02,  0.21340E+02,  0.67436E+03
  0.60306E+02,  0.17500E+00,  0.30000E-02,  0.21340E+02,  0.67436E+03
  0.61015E+02,  0.20000E+00,  0.30000E-02,  0.21340E+02,  0.67436E+03
  0.61442E+02,  0.22500E+00,  0.30000E-02,  0.21340E+02,  0.67436E+03
  0.61896E+02,  0.25000E+00,  0.30000E-02,  0.21340E+02,  0.67436E+03
  0.62161E+02,  0.27500E+00,  0.30000E-02,  0.21340E+02,  0.67436E+03
  0.62506E+02,  0.30000E+00,  0.30000E-02,  0.21340E+02,  0.67436E+03
  0.62730E+02,  0.32500E+00,  0.30000E-02,  0.21340E+02,  0.67436E+03
  0.62922E+02,  0.35000E+00,  0.30000E-02,  0.21340E+02,  0.67436E+03
  0.63082E+02,  0.37500E+00,  0.30000E-02,  0.21340E+02,  0.67436E+03
  0.63034E+02,  0.40000E+00,  0.30000E-02,  0.21340E+02,  0.67436E+03
  0.63101E+02,  0.42500E+00,  0.30000E-02,  0.21340E+02,  0.67436E+03
  0.63135E+02,  0.45000E+00,  0.30000E-02,  0.21340E+02,  0.67436E+03
  0.63151E+02,  0.47500E+00,  0.30000E-02,  0.21340E+02,  0.67436E+03
  0.63117E+02,  0.50000E+00,  0.30000E-02,  0.21340E+02,  0.67436E+03
  0.38048E+02,  0.25000E-01,  0.45000E-02,  0.21340E+02,  0.67436E+03
  0.45867E+02,  0.50000E-01,  0.45000E-02,  0.21340E+02,  0.67436E+03
  0.53433E+02,  0.75000E-01,  0.45000E-02,  0.21340E+02,  0.67436E+03
  0.59153E+02,  0.10000E+00,  0.45000E-02,  0.21340E+02,  0.67436E+03
  0.63772E+02,  0.12500E+00,  0.45000E-02,  0.21340E+02,  0.67436E+03
  0.67670E+02,  0.15000E+00,  0.45000E-02,  0.21340E+02,  0.67436E+03
  0.71775E+02,  0.17500E+00,  0.45000E-02,  0.21340E+02,  0.67436E+03
  0.70056E+02,  0.20000E+00,  0.45000E-02,  0.21340E+02,  0.67436E+03
  0.70686E+02,  0.22500E+00,  0.45000E-02,  0.21340E+02,  0.67436E+03
  0.71673E+02,  0.25000E+00,  0.45000E-02,  0.21340E+02,  0.67436E+03
  0.72517E+02,  0.27500E+00,  0.45000E-02,  0.21340E+02,  0.67436E+03
  0.73071E+02,  0.30000E+00,  0.45000E-02,  0.21340E+02,  0.67436E+03
  0.73927E+02,  0.32500E+00,  0.45000E-02,  0.21340E+02,  0.67436E+03
  0.73925E+02,  0.35000E+00,  0.45000E-02,  0.21340E+02,  0.67436E+03
  0.74270E+02,  0.37500E+00,  0.45000E-02,  0.21340E+02,  0.67436E+03
  0.74667E+02,  0.40000E+00,  0.45000E-02,  0.21340E+02,  0.67436E+03
  0.75050E+02,  0.42500E+00,  0.45000E-02,  0.21340E+02,  0.67436E+03
  0.75060E+02,  0.45000E+00,  0.45000E-02,  0.21340E+02,  0.67436E+03
  0.75341E+02,  0.47500E+00,  0.45000E-02,  0.21340E+02,  0.67436E+03
  0.75347E+02,  0.50000E+00,  0.45000E-02,  0.21340E+02,  0.67436E+03
  0.35045E+02,  0.25000E-01,  0.60000E-02,  0.21340E+02,  0.67436E+03
  0.41937E+02,  0.50000E-01,  0.60000E-02,  0.21340E+02,  0.67436E+03
  0.49410E+02,  0.75000E-01,  0.60000E-02,  0.21340E+02,  0.67436E+03
  0.56701E+02,  0.10000E+00,  0.60000E-02,  0.21340E+02,  0.67436E+03
  0.64035E+02,  0.12500E+00,  0.60000E-02,  0.21341E+02,  0.67436E+03
  0.68161E+02,  0.15000E+00,  0.60000E-02,  0.21340E+02,  0.67436E+03
  0.72683E+02,  0.17500E+00,  0.60000E-02,  0.21340E+02,  0.67436E+03
  0.76758E+02,  0.20000E+00,  0.60000E-02,  0.21340E+02,  0.67436E+03
  0.78114E+02,  0.22500E+00,  0.60000E-02,  0.21340E+02,  0.67436E+03
  0.79651E+02,  0.25000E+00,  0.60000E-02,  0.21340E+02,  0.67436E+03
  0.80183E+02,  0.27500E+00,  0.60000E-02,  0.21340E+02,  0.67436E+03
  0.81144E+02,  0.30000E+00,  0.60000E-02,  0.21340E+02,  0.67436E+03
  0.82265E+02,  0.32500E+00,  0.60000E-02,  0.21340E+02,  0.67436E+03
  0.83005E+02,  0.35000E+00,  0.60000E-02,  0.21340E+02,  0.67436E+03
  0.83718E+02,  0.37500E+00,  0.60000E-02,  0.21340E+02,  0.67436E+03
  0.84282E+02,  0.40000E+00,  0.60000E-02,  0.21340E+02,  0.67436E+03
  0.84788E+02,  0.42500E+00,  0.60000E-02,  0.21340E+02,  0.67436E+03
  0.85050E+02,  0.45000E+00,  0.60000E-02,  0.21340E+02,  0.67436E+03
  0.85364E+02,  0.47500E+00,  0.60000E-02,  0.21340E+02,  0.67436E+03
  0.85674E+02,  0.50000E+00,  0.60000E-02,  0.21340E+02,  0.67436E+03
  0.32950E+02,  0.25000E-01,  0.75000E-02,  0.21340E+02,  0.67436E+03
  0.38893E+02,  0.50000E-01,  0.75000E-02,  0.21340E+02,  0.67436E+03
  0.45777E+02,  0.75000E-01,  0.75000E-02,  0.21340E+02,  0.67436E+03
  0.54645E+02,  0.10000E+00,  0.75000E-02,  0.21341E+02,  0.67436E+03
  0.61302E+02,  0.12500E+00,  0.75000E-02,  0.21340E+02,  0.67436E+03
  0.66520E+02,  0.15000E+00,  0.75000E-02,  0.21340E+02,  0.67436E+03
  0.71318E+02,  0.17500E+00,  0.75000E-02,  0.21340E+02,  0.67436E+03
  0.76760E+02,  0.20000E+00,  0.75000E-02,  0.21340E+02,  0.67436E+03
  0.80845E+02,  0.22500E+00,  0.75000E-02,  0.21340E+02,  0.67436E+03
  0.84983E+02,  0.25000E+00,  0.75000E-02,  0.21340E+02,  0.67436E+03
  0.88372E+02,  0.27500E+00,  0.75000E-02,  0.21340E+02,  0.67436E+03
  0.92322E+02,  0.30000E+00,  0.75000E-02,  0.21340E+02,  0.67436E+03
  0.88776E+02,  0.32500E+00,  0.75000E-02,  0.21340E+02,  0.67436E+03
  0.89983E+02,  0.35000E+00,  0.75000E-02,  0.21340E+02,  0.67436E+03
  0.91150E+02,  0.37500E+00,  0.75000E-02,  0.21340E+02,  0.67436E+03
  0.92086E+02,  0.40000E+00,  0.75000E-02,  0.21340E+02,  0.67436E+03
  0.92854E+02,  0.42500E+00,  0.75000E-02,  0.21341E+02,  0.67436E+03
  0.93545E+02,  0.45000E+00,  0.75000E-02,  0.21340E+02,  0.67436E+03
  0.94081E+02,  0.47500E+00,  0.75000E-02,  0.21340E+02,  0.67436E+03
  0.94667E+02,  0.50000E+00,  0.75000E-02,  0.21340E+02,  0.67436E+03
  0.31368E+02,  0.25000E-01,  0.90000E-02,  0.21340E+02,  0.67436E+03
  0.36496E+02,  0.50000E-01,  0.90000E-02,  0.21340E+02,  0.67436E+03
  0.42908E+02,  0.75000E-01,  0.90000E-02,  0.21340E+02,  0.67436E+03
  0.51360E+02,  0.10000E+00,  0.90000E-02,  0.21340E+02,  0.67436E+03
  0.56188E+02,  0.12500E+00,  0.90000E-02,  0.21340E+02,  0.67436E+03
  0.63041E+02,  0.15000E+00,  0.90000E-02,  0.21340E+02,  0.67436E+03
  0.69544E+02,  0.17500E+00,  0.90000E-02,  0.21340E+02,  0.67436E+03
  0.74659E+02,  0.20000E+00,  0.90000E-02,  0.21340E+02,  0.67436E+03
  0.80112E+02,  0.22500E+00,  0.90000E-02,  0.21340E+02,  0.67436E+03
  0.84560E+02,  0.25000E+00,  0.90000E-02,  0.21340E+02,  0.67436E+03
  0.87939E+02,  0.27500E+00,  0.90000E-02,  0.21341E+02,  0.67436E+03
  0.92719E+02,  0.30000E+00,  0.90000E-02,  0.21340E+02,  0.67436E+03
  0.96313E+02,  0.32500E+00,  0.90000E-02,  0.21340E+02,  0.67436E+03
  0.94200E+02,  0.35000E+00,  0.90000E-02,  0.21340E+02,  0.67436E+03
  0.96678E+02,  0.37500E+00,  0.90000E-02,  0.21340E+02,  0.67436E+03
  0.98414E+02,  0.40000E+00,  0.90000E-02,  0.21340E+02,  0.67436E+03
